,Experiment,Folate,Status,Linoleic Acid,9(S)-HODE,9(S)-HpODE,Mead Ethanolamide,Noladin,Docosatrienoic Acid (22:3 n-3),Xanthine,N-Carbamoyl-L-aspartic Acid,Deoxyuridine,Glycerol 1-Phosphate / Glycerol 3-Phosphate,Riboflavin,Pantothenic Acid,Deoxycytidine,N-Methylnicotinate,Methylglyoxal,Phosphocreatine,Cysteamine,ATP,UTP,NADP,CMP,Creatine,Aspartic Acid,Alanine,Sarcosine,Serine,Creatinine,Proline,Guanidinoacetic Acid,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Citrulline,Tyrosine,Tryptophan,5'-Methylthioadenosine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,Phosphatidylethanolamine(32:0),Pyridoxal,Pyridoxine,Protoporphyrin,NAD,Flavin adenine dinucleotide (FAD),2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Thymine,Adenine,Hypoxanthine,Guanine,Thymidine,Cytidine,Uridine,2'-Deoxyguanosine,Adenosine,Inosine,Guanosine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Cytosine,Retinoic Acid,Archidonoyl glycine,4-Pyridoxic Acid,Biotin,Phenylacetic Acid,4-Aminobutyric Acid (GABA),Ornithine,4-Guanidinobutyric Acid,Glutamine,Histidine,3-Methoxytyrosine,S-Adenosylhomocysteine (SAH),Threonine,O-Phosphoethanolamine,Hypotaurine,Glutathione,Orotic Acid,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,2-Aminoadipic Acid,N-Acetylglutamic Acid,Kynurenine,"15-deoxy-delta-12,14-Prostaglandin J2",5-Methyl-tetrahydrofolic acid (5-CH3-THF),4-Acetamidobutanoic Acid,Urocanic Acid,ADP,Allantoin,Quinolinic Acid,Putrescine,S-Adenosylmethionine (SAM),Deoxycarnitine,Phosphocholine,Glycerol-3-phosphocholine,Sphingosine,Sphingomyelin,Carnitine,Nicotinamide,Nicotinamide Mononucleotide,Choline,Betaine,GTP,Arginine,CTP,gamma-Linolenic Acid,PAF C18:1,Arachidonoyl-PAF,Spermidine,Trimethylamine N-oxide,D-Erythrose,D-Glyceraldehyde 3-phosphate (G3P),NADH,Acetylcarnitine,Butyrylcarnitine,Valerylcarnitine,L-Hexanoylcarnitine,3-Phosphoglyceroinositol,Tetradecanoylcarnitine,Hexadecenoylcarnitine,Palmitoylcarnitine,Linolenyl carnitine,Linoleyl carnitine,Oleoylcarnitine,Stearoylcarnitine,LysoPE(18:2),LysoPE(18:0),LysoPC(16:1),LysoPC(16:0),LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PC(34:2),PC(35:2),PC(36:4),PC(36:2),Cysteineglutathione disulfide,5-Methylcytidine,AMP,Succinoadenosine
p214_1,cd_exp1,10ppm,A cd/cd,45729.96264,257340.7411,79395.93106,698004.3324,13610.17429,134998.1522,675.4908207,66885.34072,98618.23695,5695.246124,4591.632143,830105.6964,21526.04925,4316.038812,6470.992421,55899.88495,8459.894313,176706.2773,18197.62223,5334.744153,21328.46573,14513863.25,1312579.805,3847550.059,598842.6345,961110.7121,177312.0113,16341212.88,32280.34727,3961587.738,2822304.755,3466794.227,941544.4168,787288.8628,9291158.425,1675966.863,2915646.832,31142.69839,1637637.964,429356.8931,549926.6683,837152.3147,5345.216455,138935.7805,259175.609,21673.07938,14554.4632,42073.60966,83875.14047,230447.9942,37472.93386,281730.9761,12147557.05,225105.7658,43272.30016,397185.7272,30890.42944,406326.3978,906583.5473,69604.00668,11462.73794,75318.54201,78799.57423,35977.12316,131646.3417,179448.7259,25325.32675,114618.2799,18218.896,12904.3685,16309.5325,51023.90447,91481.14066,56463.09917,81664.7004,979.9037701,6753.68229,341984.8675,19119.18823,282884.6951,21342.21097,8028322.197,333830.2468,259.4651193,74718.5342,2410484.8,227412.8805,284704.7058,430000.4094,14327.98389,17623.42348,363353.3413,4268.078035,167437.4019,15874.2642,60905.57972,174575.223,6494.644492,20830.6428,466759.43,173790.6983,109792.74,7499.30558,41759.71275,68946.52265,96110.90458,9252476.249,5909835.851,66950.04839,85264.53947,3808304.306,1322862.401,4361.146173,10609428.3,7930420.052,10962.47645,1336948.481,17428.06058,78899.8901,19259.46409,721055.1664,86216.36966,69579.15403,216676.8097,2082.211598,1514.281535,893584.1959,1386868.816,62462.10453,20638.52961,16989.46322,8800.185183,10906.71308,28473.32924,6643.319984,20958.32355,65736.34362,220033.6893,16092.36043,67276.306,31455.46725,564352.9002,105240.7629,262044.4848,1358693.985,18800391.87,164588.0131,15045990.39,8430751.421,12110.63383,43794.04127,293141.9411,53325.22452
pCDexp1_QC1,cd_exp1,QC,QC,71169.86464,218602.905,99655.84752,358003.4918,8569.313579,59499.39474,181022.287,172146.7315,343497.0488,20552.73629,38809.54586,1126348.663,43981.644,53261.47212,13834.64481,108076.1309,1214.80112,121347.9303,7873.709139,11917.90859,48402.91769,24783977.27,1670235.088,5883229.969,934660.3805,2443538.984,418997.824,29307382.76,119104.3172,9471398.443,7263112.394,7647051.744,2522102.85,3129145.945,15241921.74,3490772.634,7380342.381,40502.06245,4285724.997,1238331.72,797495.526,689086.9257,14501.37963,340974.2815,532522.9877,8002.082079,75559.18212,86562.82412,228297.7268,892831.3129,34206.21765,456041.2014,21093035.21,637417.1479,68944.97186,1805734.601,170838.0214,1033913.198,3777254.016,148718.9793,87443.72943,445588.2067,794884.8376,211747.2444,2361277.739,445082.5651,172785.588,224938.8391,14616.6155,7692.820671,62431.44758,75259.90179,337876.7542,19299.1051,46431.03648,23929.90808,61293.23542,4441419.431,49375.07174,713842.1685,31783.24826,20530088.93,1164382.903,12021.98964,166123.5235,5074774.679,627049.7879,593198.3505,467511.0493,62664.68999,45989.44004,835679.5896,9853.922089,297213.5374,59499.31347,250799.4669,66025.20707,3545.764476,23194.44176,222193.8351,211676.3423,609902.2229,8086.501767,202305.3778,1290776.88,249179.8452,3934517.993,12066795.18,121542.5942,54745.96523,16310399.42,488076.2005,7556.132806,37091563.59,13167980.3,117.1485258,8465067.679,4263.488568,126242.7906,34037.53252,631491.5686,100374.1072,102479.082,279350.5884,6781.621992,2403.083692,3367864.215,3700288.319,293979.8627,105564.7833,27734.60723,64672.44329,52420.58167,144380.0147,17583.41256,78196.38918,187043.6746,146812.6998,25801.18276,103393.1674,103009.9195,1830976.378,531278.2922,777452.7338,2384504.128,18766481.72,163133.7552,15149749.79,6886823.186,25798.55802,44562.41512,609008.2078,114137.6694
pCDexp1_QC2,cd_exp1,QC,QC,66181.40906,199789.3612,87225.75987,470265.6762,14085.53554,72116.66701,49554.55341,90791.85848,215439.9467,9486.443861,14613.53089,867711.3722,41401.58323,30464.886,7675.515374,49426.20735,1310.280441,60007.52508,1297.535557,3916.976617,20697.24062,19921964.62,957733.5028,4521892.202,744970.1895,1474996.522,317332.1433,20642073.83,65854.06323,5927612.233,4048231.537,6372703.292,1507695.074,2542767.651,9506482.375,2787010.495,5572642.187,15501.95058,2977882.642,1010535.001,586641.3612,479771.061,4830.619765,135744.9455,278560.6007,20361.37579,43632.98515,62300.57996,193756.4469,345812.453,34672.26351,410737.1761,14771528.71,252662.8734,45596.62849,1084961.82,111095.8011,1089797.261,3398727.547,133395.5833,60878.64265,327029.7602,398492.5934,156145.151,1477888.971,173166.9272,103496.264,105955.6678,5076.841396,853.1974709,20827.09321,33969.02039,261689.7683,20274.29983,58139.34562,6972.109721,42748.97809,2142465.227,28374.18683,533128.1896,23329.35946,13484596.35,641558.7195,4670.894008,83330.67936,3605615.825,292801.0405,344615.0883,207492.3365,22765.27682,18692.95615,494284.6136,4231.652822,181522.4893,31848.49086,188531.191,46176.93803,3062.437892,12356.12418,257535.3032,89461.28823,349895.4501,10324.8875,178862.2514,192184.6538,162386.896,6063722.275,6166524.254,181600.205,97209.58033,8592193.181,474060.84,1838.504181,28100355.35,7628441.15,,6473987.224,848.5567064,131929.2974,43271.31931,712859.4121,96753.7919,65615.97308,176818.8659,2299.186216,286.8918139,1876136.102,2158294.426,191412.5689,73155.33164,12309.05975,63534.5742,62644.98301,165963.9283,15992.3091,98248.39932,245730.7789,197771.0052,33517.73478,110046.2732,120110.9232,2061265.692,626549.4559,939598.1985,2847139.005,21034915.51,167027.035,16996949.67,7784320.406,10688.43652,58909.13839,260465.4851,73219.62619
pCDexp1_QC3,cd_exp1,QC,QC,76364.19875,197557.6469,95228.09379,537269.3582,15262.36777,74512.40159,34567.72109,103216.698,247902.3052,8931.222961,13654.34935,1146372.735,39185.43408,29118.60243,12651.32897,43305.55268,1734.674621,67023.6122,968.8273762,1600.093178,17360.69613,19311718.63,1250258.352,5377991.174,779246.9153,1642934.39,320239.1968,20874941.27,53763.29848,6245135.047,4545752.789,7668731.992,1471459.949,2079148.785,11342050.68,2987170.997,5349208.715,19071.7006,2736753.362,845951.2907,613678.1926,792358.4425,4285.526231,126066.5757,238137.3027,22859.32966,33937.29779,65848.565,148174.1426,272528.6364,50040.98719,424863.1104,16086862.92,189375.2452,41635.81525,1279884.09,140345.8124,1020345.395,3512203.598,131803.192,74060.29337,350523.5298,446719.5999,141993.0792,1285553.34,171268.5486,89537.55445,88517.77118,4255.130856,1238.32435,19216.47539,30588.81455,276389.9589,11381.12909,68682.99177,4246.948212,40417.89534,1880236.001,26523.03748,531208.6163,26999.38803,13756432.39,590217.4071,5134.854703,71123.05741,3748291.856,276034.5654,355775.5296,226447.4789,22482.11184,14307.50512,550290.1069,4150.955685,175990.1051,29555.93108,161169.9121,42431.99602,3446.325146,13581.61186,327492.8341,76936.43386,330173.4707,11494.96139,76248.30746,118174.0732,154687.5175,6419527.34,5245291.288,214482.7632,76793.86788,7954921.16,502987.4011,965.359382,27891095.67,8092162.209,125.4919988,5663713.884,734.2682018,123894.9822,38314.83961,808394.2176,102017.2561,74933.58073,167538.4578,1595.110636,322.1981122,1643560.141,1930126.865,162736.9541,62497.17437,10141.92842,56108.64549,61797.52844,168296.9076,17977.30781,85574.43789,224446.3217,225594.8439,30543.91986,124849.1094,120648.7108,1913270.438,604947.6955,925624.1101,3019827.054,23990007.32,226520.7066,19114510.36,8721430.509,9022.833815,66540.92034,215423.9317,62887.09566
pCDexp1_QC4,cd_exp1,QC,QC,79075.14135,177582.3437,81977.8435,583414.2841,15003.04438,97427.68787,46262.49069,113436.5524,260152.3178,10315.90245,12480.72887,1250520.646,38436.48671,33564.6597,11818.60897,51556.9417,2182.80068,53198.17147,1067.432181,1438.956129,17455.12141,19915448.58,1319037.129,5898315.038,796343.4871,1655281.112,278165.1488,22598374.89,91160.64401,5588127.436,5116140.311,6136773.673,1550252.226,2129889.708,11270436.49,2828886.942,5356641.459,20426.28085,2821009.501,834712.6975,726151.3046,1039384.993,5664.805368,142279.9414,250957.7021,24640.96521,27617.03775,65814.45439,126220.7943,292012.8501,58424.69963,432143.1921,15257068.13,216783.8596,42314.77853,1344919.617,126892.7286,1073896.379,3879565.843,133251.1972,67427.41632,385227.3437,554651.1644,160886.6295,1402547.104,260681.9209,96030.07166,86783.33364,3910.887918,1288.405276,21213.70265,38346.66417,280910.6938,13866.4901,66038.6097,4481.185059,44130.93536,1716337.472,28594.39281,574304.6603,27091.50588,14933833.31,651985.6473,5571.337899,74672.20892,3754873.24,333992.619,374567.1334,126589.5432,26264.91087,18268.34543,523684.57,5155.861639,212420.3005,34585.26459,163899.3781,42341.41297,2528.230509,16494.66263,349693.3067,84941.96092,424074.2587,11516.67159,86740.87569,140618.7974,164511.7834,6078920.074,5916961.442,211300.0816,46064.09534,8842397.322,538294.5533,589.9947246,28035506.61,11033312.12,,6199888.32,273.3809618,115358.3417,37252.38779,796902.1774,113278.0326,87031.02509,169496.0542,2672.875888,319.9628017,1763038.743,1966418.233,164890.2865,60097.59572,12530.9227,53932.27237,54205.8083,141957.6641,15865.49812,81673.70593,217299.98,209560.7532,22701.47844,116045.6565,111893.5686,1708405.308,562941.6083,868543.0179,2758391.98,24424891.03,229317.1311,18858748.44,9043874.649,11569.13512,69033.83209,252148.7566,57689.6434
pCDexp1_QC5,cd_exp1,QC,QC,86450.18634,187181.0538,88161.53693,602901.521,13842.25727,94075.60595,98998.76444,141255.817,291235.6309,15955.29549,16728.11202,1390914.66,43205.10343,37963.44723,16120.39049,76771.5475,2697.02812,103609.8675,5760.545066,3755.825367,31132.9791,22753180.15,1558388.506,6289524.263,911671.8979,1869516.017,301778.133,22797579.09,93649.17099,7048649.441,5137854.269,7401428.341,1915638.826,2539941.029,10888058.31,3256548.258,5684786.228,24222.26125,3152262.976,890650.2845,868322.0271,1386536.743,7061.637539,191418.6828,389946.5055,26442.70617,33958.59928,86657.93295,131304.1626,469797.4853,55735.83603,480934.0326,17533281.22,365664.9082,48186.97203,1465869.427,129656.4391,1135109.358,4388605.781,147973.538,74574.62816,479310.4182,731256.5491,201451.0533,1876548.244,415058.697,136915.5029,154881.1973,8810.206087,4622.453,35101.81713,52436.47659,311145.7134,12800.56174,67212.10029,9191.461623,58503.6286,2447877.451,35743.31908,710762.0847,28611.61365,17199541.73,809468.2975,7301.541383,102193.0731,4563382.377,496176.9578,468616.775,126604.169,29464.4572,28186.44953,593190.0744,7974.483517,269241.804,44258.19462,182623.0953,62548.72414,3497.835829,22496.46634,374161.3001,134096.2029,531019.6287,10364.10547,112378.445,290811.5251,203004.3428,5641853.852,8349925.301,209267.5648,53958.11797,11214443.12,498534.9497,3073.312492,29680066.38,10119849.34,978.4473065,7806727.83,4807.798712,140194.4689,36536.02592,823853.5294,118782.1651,106380.1053,180005.7995,4184.708988,829.2722299,2167447.571,2299858.192,182707.1806,67973.36483,16191.60751,53526.92872,59607.79726,144427.5077,15213.60317,84314.92045,207895.581,195338.282,22640.79025,114246.7877,107286.3907,1625084.844,479496.3982,811421.4035,2490469.841,24403745.23,206293.1176,18410679.23,9442157.497,19130.68097,77699.67591,384166.7378,85016.46401
pCDexp1_QC6,cd_exp1,QC,QC,62402.38164,139916.0287,32051.88888,297205.6777,5416.495402,49301.59318,240.4892242,123907.5363,60140.03554,9406.567753,5636.311225,2276759.154,40906.74311,19081.55424,5247.334748,50191.80817,11221.91219,87925.00096,2690.886669,4235.826134,23095.98669,16885009.66,1291760.473,4426155.353,647764.189,1237754.27,291844.6948,17704155.4,18593.51043,5864206.474,4250072.659,4262083.915,1218837.434,1183970.703,10672359.73,2333198.115,3237327.652,26653.4609,1784833.997,391024.7729,884871.134,1058292.3,7847.095045,201181.1601,356026.701,11186.74263,9978.180268,47873.65424,48705.26672,387588.9613,45060.81422,340852.5005,12221363.1,318622.8381,33803.78971,310561.1854,74501.73992,507717.1675,1828762.361,102264.2253,42743.52945,430594.5479,98212.43924,87567.75349,829961.6603,236275.3711,70895.04754,116207.4423,6228.885982,3044.581755,38337.16787,35634.99321,271064.164,16193.62402,24683.71168,882.2177031,49843.44803,,22621.51393,331455.9722,21188.28587,12085295.45,434398.9857,3920.07491,74550.78237,2880650.041,309018.4158,273843.5309,131794.8441,13125.63803,21713.88624,470587.4027,2926.293604,213109.6037,32917.35566,89712.06083,46993.66211,4194.920272,15411.1635,178007.025,102842.7442,28531.77952,11742.76849,65605.93099,89178.22351,112331.5658,12327965.58,4290648.219,75474.95367,32237.40786,5107512.31,1655845.272,550.7740603,14241668.31,4990809.869,296.9140718,2478942.296,3945.354046,75227.17145,16733.12175,606266.962,78665.49243,75230.58411,58702.33184,2428.74471,904.6536912,983633.1319,958268.582,83999.84573,31587.62387,14477.87045,25750.27591,25165.05137,51763.08975,5139.921058,18302.22678,74764.90505,87657.63828,14569.37788,41757.48327,42200.48578,649265.8645,223831.4103,326974.5649,965308.0906,17162980.93,154069.66,13311992.86,7601974.683,15194.69098,61245.72798,277384.9379,111651.8376
pCDexp1_Solv2,cd_exp1,Solv,Solv,5364.343592,27254.7609,21939.07418,18860.08593,1276.457565,1498.300153,,,540.6848418,,291.2580103,,814.0583879,1854.213227,200.8925019,110.8636714,,337.5017868,,,,17283.79047,1076401.922,30876.28193,33638.27406,7156.261135,137992.638,49878.98108,8649.784621,151444.2636,,,42539.94664,82624.34248,32429.64668,,,2457.349326,,,809.8833987,48307.34021,164.4638306,,,,116.5297133,900.0683645,746.3510221,,72.50418019,66323.3603,296.391754,,17077.43818,949.8513223,1992.16157,2711.948336,,,,,316.4288252,574.2494759,1300.668872,522.511186,,,,,518.2646432,,19808.4932,29287.28259,15125.75672,,,,14682.43082,950.4485663,10578.46589,151336.9078,67612.34764,242.188091,,31525.17942,,,110160.7871,,,26817.74683,73.39950573,3567.392582,,446.1913451,5822.736276,1540.761683,9760.037543,3054.594771,123.9366333,,931.1183108,6778.301928,,17475.54427,52031.53769,8368.176124,47952.6563,,,5375.571053,,131793.2763,1550577.961,,2591.049931,,7849.870944,595.8340428,76.26215561,5598.570588,2214.23228,,,,27056.52515,38662.41469,2214.121344,6393.787978,,7360.304252,5956.656101,11394.81027,2763.414199,2769.32381,6864.371142,16594.68525,6389.093499,,744.7432949,6010.597031,10343.77505,3327.603826,2890.54199,4386.999811,,831.9978605,2570.318768,,,,
pCDexp1_Solv3,cd_exp1,Solv,Solv,4318.98089,7641.015883,9339.896604,17857.54609,1783.452839,1657.941946,,,,,454.0662114,,2535.342554,473.8037015,81.24460633,,,115.0283998,,,,5366.117818,1028587.112,53294.63163,28088.11636,4469.178933,73825.76283,43737.21283,3349.292632,131549.9295,,,23044.00861,61392.47747,58997.11214,3849.427052,,1176.494157,,,1239.618338,,498.8060777,,76.7460937,,,476.2292978,271.6779607,,,46460.90298,587.4534379,130.77449,12636.86414,85.57517703,,8698.720366,,,,,209.2721711,125.2916497,260.1947989,96.70703943,,,,,419.1621212,3666.432634,15201.44125,17527.68065,7384.159863,140.8294349,2042.57063,,8608.471179,8495.719629,10939.20393,94382.79424,37610.25827,701.8567905,,20840.38921,,,102380.5241,,,29711.3978,,7738.421166,,265.0250915,14482.2909,815.4256189,488.6312187,5176.673222,,,1183.804427,8383.978814,,,40823.11883,9733.695223,14510.32646,,,7737.687463,,144766.0213,1598696.633,,37893.04942,,14206.5908,555.4343813,363.5518536,2717.580321,4008.044707,,,,29456.46875,,23996.81134,14945.18458,,8564.253643,2629.655964,3881.521042,4702.499595,3125.662415,5139.146116,12188.63967,5289.441327,,268.4069077,8706.95673,8417.910564,3914.050456,2682.13697,6457.225756,239.0602599,765.7812811,2658.356311,,,,
pCDexp1_Solv4,cd_exp1,Solv,Solv,7264.855621,4767.228787,2594.673851,18269.9627,464.2851128,3610.214438,,,416.7040829,,415.6725579,,4881.236633,388.1133698,402.231568,,,11629.0232,,,,6193.861987,937189.9133,60490.091,49042.6863,15708.21931,48134.26107,84088.58628,1934.223466,190192.1126,,,30770.11487,40022.96363,110790.3013,2393.807752,,2326.154911,,,329.0538746,79858.6859,709.6728849,158.6657226,783.6756866,162.5657294,,213.6968069,715.335899,,72.8390681,63229.24503,1120.149351,1892.7241,19570.90806,,518.4121492,20405.37818,,,,,157.1247888,162.7472375,,252.8140438,,,261.2963043,,557.705307,6097.009884,14667.33852,14936.96623,7217.011542,344.1403603,1003.018001,,5127.471586,10039.59877,15842.97127,107743.6255,66620.37881,535.2652663,,26769.40591,278.4817851,,130033.7446,,,42116.21312,250.0259441,6153.652546,,438.8875232,19898.23962,918.7872889,1424.765639,14408.04998,2759.695261,,1426.183507,28190.62223,,,300517.1274,40958.46816,1190.778421,,,7472.607567,,562988.5335,2097690.213,,33004.17359,,13404.2071,1353.572574,224.8928374,3935.697125,20816.7082,,,,6565.831048,,9428.206408,5793.198838,,8667.186282,1419.014725,3462.412131,3206.304123,1135.859943,4729.318943,16899.52762,6563.189522,,2150.541324,17865.4132,11551.19628,8555.339026,7707.840561,21550.93486,722.881397,7636.384324,13516.73236,,,,
