,light,78,pP2_L_VPA2.d,5.752,911222,55498,0,0,0,0,966721,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,78,pP3_L_C3.d,5.768,887732,58300,0,0,0,0,946032,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,78,pP3_L_VPA3.d,5.752,1344569,78366,0,0,0,0,1422935,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,78,pP3_L_VPA4.d,5.754,1011302,67154,0,2506,0,0,1080962,99.75,0.00,0,0.25,0,0,100.00,99.75, 0.25, 0.15
,light,78,pP4_L_C4.d,5.738,1414767,91083,0,0,0,0,1505850,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,78,pP4_L_C5.d,5.769,893765,40506,0,0,0,0,934271,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,78,pP4_L_VPA5.d,5.755,1049336,62897,0,0,0,0,1112233,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,78,pP1_H_C1.d,5.734,1331694,80273,0,4132,0,0,1416099,99.68,0.00,0,0.32,0,0,100.00,99.68, 0.32, 0.19
,heavy,78,pP1_H_VPA1.d,5.753,1514094,97710,0,0,0,13037,1624841,99.10,0.00,0,0,0,0.90,100.00,99.10, 0.90, 0.90
,heavy,78,pP1_H_VPA2.d,5.749,1412946,75965,0,0,0,0,1488911,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,78,pP2_H_C2.d,5.749,1145648,85153,0,0,0,0,1230801,99.94,0.06,0,0,0,0,100.00,99.94, 0.06, 0.01
,heavy,78,pP2_H_C3.d,5.748,1302831,87645,0,0,0,0,1390476,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,78,pP2_H_VPA3.d,5.768,1090448,66124,0,0,0,0,1156572,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,78,pP3_H_C4.d,5.772,1092488,75428,0,0,0,0,1167916,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,78,pP3_H_VPA4.d,5.787,906299,56175,0,5773,0,0,968246,99.35,0.00,0,0.65,0,0,100.00,99.35, 0.65, 0.39
,heavy,78,pP4_H_C5.d,5.773,1234078,71681,0,0,0,0,1305759,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,78,pP4_H_VPA5.d,5.737,1162573,76268,0,0,0,0,1238841,100.00,0.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,solv,78,psol2.d,5.418,0,237256,0,0,0,0,237256,0,100.00,0,0,0,0,100.00,0.00, 100.00, 20.00
,solv,78,psol3.d,5.602,0,9547,0,13281,0,0,22829,0,41.40,0,58.60,0,0,100.00,0.00, 100.00, 43.44
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,1.55,2.636,0.80,1.410
,light,0.03,0.080,0.02,0.048
,heavy,0.19,0.327,0.15,0.293
,solv,100.00,,31.72

5-Methylcytosine, Formula, C5H7N3O
, Tgt RT, 6.580, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,, Corrected Abundance Percentages,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,126.06619,127.07247,128.07874,129.08502,130.09130,131.09757,132.10385,133.11013,Sum,126.06619,127.07247,128.07874,129.08502,130.09130,131.09757,132.10385,133.11013,Sum, Unlabeled, Labeled, Labeling
,mix,80,pmix1.d,5.727,0,0,0,0,0,0,15072640,0,15072642,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,mix,80,pmix2.d,5.823,0,0,0,0,0,0,98287820,0,98287816,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,mix,80,pmix3.d,5.808,0,0,0,0,0,0,95216670,0,95216672,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,mix,80,pmix4.d,5.791,0,0,0,0,0,0,96303890,0,96303888,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,mix,80,pmix5.d,5.809,0,0,0,0,0,0,93120020,0,93120016,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP1_L_C1.d,5.800,0,0,0,0,0,0,111496800,0,111496848,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP1_L_VPA1.d,5.783,0,0,0,0,0,0,117075400,0,117075408,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP2_L_C2.d,5.802,0,0,0,0,0,0,105723300,0,105723296,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP2_L_VPA2.d,5.769,0,0,0,0,0,0,95788950,0,95788952,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP3_L_C3.d,5.784,0,0,0,0,0,0,103982500,0,103982520,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP3_L_VPA3.d,5.768,0,0,0,0,0,0,130552100,0,130552064,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP3_L_VPA4.d,5.771,0,0,0,0,0,0,102861700,0,102861704,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP4_L_C4.d,5.771,0,0,0,0,0,0,139288800,0,139288816,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP4_L_C5.d,5.785,0,0,0,0,0,0,87937660,0,87937664,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,light,80,pP4_L_VPA5.d,5.788,0,0,0,0,0,0,116444100,0,116444120,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP1_H_C1.d,5.767,0,0,0,0,0,0,139714000,0,139714000,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP1_H_VPA1.d,5.786,0,0,0,0,0,0,147864300,0,147864256,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP1_H_VPA2.d,5.766,0,0,0,0,0,0,134836600,0,134836624,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP2_H_C2.d,5.782,0,0,0,0,0,0,118265900,0,118265880,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP2_H_C3.d,5.781,0,0,0,0,0,0,123709100,0,123709064,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP2_H_VPA3.d,5.785,0,0,0,0,0,0,115535600,0,115535632,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP3_H_C4.d,5.788,0,0,0,0,0,0,118006000,0,118005960,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP3_H_VPA4.d,5.804,0,0,0,0,0,0,110733400,0,110733400,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP4_H_C5.d,5.789,0,0,0,0,0,0,141044000,0,141044048,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,heavy,80,pP4_H_VPA5.d,5.770,0,0,0,0,0,0,107389900,0,107389856,0,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 85.71
,solv,80,psol2.d,5.882,0,3755017,0,0,0,0,477524,0,4232541,0,88.20,0,0,0,0,11.80,0,100.00,0.00, 100.00, 22.71
,solv,80,psol3.d,5.916,0,3618971,0,0,0,0,465876,0,4084847,0,88.08,0,0,0,0,11.92,0,100.00,0.00, 100.00, 22.80
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,100.00,0.000,85.71,0.000
,light,100.00,0.000,85.71,0.000
,heavy,100.00,0.000,85.71,0.000
,solv,100.00,,22.76

3-Sulfinoalanine, Formula, C3H7NO4S
, Tgt RT, 6.770, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,, Corrected Abundance Percentages,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,154.01685,155.02313,156.02941,157.03569,158.04196,159.04824,160.05452,161.06079,Sum,154.01685,155.02313,156.02941,157.03569,158.04196,159.04824,160.05452,161.06079,Sum, Unlabeled, Labeled, Labeling
,mix,83,pmix1.d,6.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,mix,83,pmix2.d,6.138,272100,13504,0,0,0,0,0,0,285603,99.68,0.32,0,0,0,0,0,0,100.00,99.68, 0.32, 0.05
,mix,83,pmix3.d,6.123,281515,15646,0,0,0,0,0,0,297161,99.09,0.91,0,0,0,0,0,0,100.00,99.09, 0.91, 0.13
,mix,83,pmix4.d,6.122,260155,12445,0,0,0,0,0,841,273442,99.51,0.14,0,0,0,0,0,0.35,100.00,99.51, 0.49, 0.37
,mix,83,pmix5.d,6.124,242376,13261,0,0,0,0,0,0,255637,99.17,0.83,0,0,0,0,0,0,100.00,99.17, 0.83, 0.12
,light,83,pP1_L_C1.d,6.148,473059,21040,0,0,0,0,0,2480,496579,99.44,0.00,0,0,0,0,0,0.56,100.00,99.44, 0.56, 0.56
,light,83,pP1_L_VPA1.d,6.180,826800,41846,0,0,0,0,0,1179,869825,99.43,0.42,0,0,0,0,0,0.15,100.00,99.43, 0.57, 0.21
,light,83,pP2_L_C2.d,6.166,344201,16731,0,0,0,0,0,0,360933,99.78,0.22,0,0,0,0,0,0,100.00,99.78, 0.22, 0.03
,light,83,pP2_L_VPA2.d,6.133,717337,36883,0,0,0,0,0,2198,756418,99.18,0.50,0,0,0,0,0,0.33,100.00,99.18, 0.82, 0.40
,light,83,pP3_L_C3.d,6.132,337872,15516,0,0,0,0,0,0,353388,100.00,0.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,83,pP3_L_VPA3.d,6.198,1220038,54375,0,0,1443,0,0,4615,1280471,99.47,0.00,0,0,0.12,0,0,0.40,100.00,99.47, 0.53, 0.47
,light,83,pP3_L_VPA4.d,6.185,943685,45115,0,0,0,0,0,2345,991144,99.60,0.14,0,0,0,0,0,0.27,100.00,99.60, 0.40, 0.29
,light,83,pP4_L_C4.d,6.168,917681,42906,0,0,889,0,0,1678,963154,99.67,0.03,0,0,0.10,0,0,0.20,100.00,99.67, 0.33, 0.26
,light,83,pP4_L_C5.d,6.166,404357,17085,0,0,0,0,0,1375,422816,99.64,0.00,0,0,0,0,0,0.36,100.00,99.64, 0.36, 0.36
,light,83,pP4_L_VPA5.d,6.168,952761,43678,0,0,0,0,0,4596,1001036,99.49,0.00,0,0,0,0,0,0.51,100.00,99.49, 0.51, 0.51
,heavy,83,pP1_H_C1.d,6.164,848946,43372,0,0,0,0,0,0,892318,99.53,0.47,0,0,0,0,0,0,100.00,99.53, 0.47, 0.07
,heavy,83,pP1_H_VPA1.d,6.200,1621460,83684,0,0,0,0,0,0,1705144,99.48,0.52,0,0,0,0,0,0,100.00,99.48, 0.52, 0.07
,heavy,83,pP1_H_VPA2.d,6.196,1482764,72600,0,0,0,0,0,2753,1558118,99.55,0.25,0,0,0,0,0,0.20,100.00,99.55, 0.45, 0.23
,heavy,83,pP2_H_C2.d,6.163,635371,27634,0,0,0,0,0,2870,665874,99.52,0.00,0,0,0.00,0,0,0.48,100.00,99.52, 0.48, 0.48
,heavy,83,pP2_H_C3.d,6.178,830181,41437,0,0,0,0,0,0,871619,99.65,0.35,0,0,0,0,0,0,100.00,99.65, 0.35, 0.05
,heavy,83,pP2_H_VPA3.d,6.165,1106088,54140,0,0,0,0,0,3869,1164097,99.38,0.25,0,0,0,0,0,0.37,100.00,99.38, 0.62, 0.41
,heavy,83,pP3_H_C4.d,6.169,607633,31145,0,0,0,0,0,0,638777,99.52,0.48,0,0,0,0,0,0,100.00,99.52, 0.48, 0.07
,heavy,83,pP3_H_VPA4.d,6.168,635970,30743,0,0,0,0,0,0,666713,99.81,0.19,0,0,0,0,0,0,100.00,99.81, 0.19, 0.03
,heavy,83,pP4_H_C5.d,6.170,555988,28466,0,0,0,0,0,4506,588961,98.67,0.47,0,0,0,0,0,0.86,100.00,98.67, 1.33, 0.93
,heavy,83,pP4_H_VPA5.d,6.151,900122,42082,0,0,0,0,0,977,943181,99.85,0.03,0,0,0,0,0,0.12,100.00,99.85, 0.15, 0.12
,solv,83,psol2.d,6.130,7186,0,0,0,0,0,0,6268,13454,51.60,0,0,0,0,0,0,48.40,100.00,51.60, 48.40, 48.40
,solv,83,psol3.d,6.214,0,0,0,0,0,0,0,1225,1225,0,0,0,0,0,0,0,100.00,100.00,0.00, 100.00, 100.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,NaN,NaN,0.13,0.141
,light,0.43,0.224,0.31,0.191
,heavy,0.50,0.325,0.25,0.287
,solv,74.20,,74.20

NADH, Formula, C21H29N7O14P2
, Tgt RT, 7.000, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,m+13,m+14,m+15,m+16,m+17,m+18,m+19,m+20,m+21,m+22,m+23,m+24,m+25,m+26,m+27,m+28,m+29,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,m+13,m+14,m+15,m+16,m+17,m+18,m+19,m+20,m+21,m+22,m+23,m+24,m+25,m+26,m+27,m+28,m+29,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,666.13205,667.13832,668.14460,669.15088,670.15716,671.16343,672.16971,673.17599,674.18226,675.18854,676.19482,677.20109,678.20737,679.21365,680.21992,681.22620,682.23248,683.23875,684.24503,685.25131,686.25758,687.26386,688.27014,689.27641,690.28269,691.28897,692.29524,693.30152,694.30780,695.31407,Sum,666.13205,667.13832,668.14460,669.15088,670.15716,671.16343,672.16971,673.17599,674.18226,675.18854,676.19482,677.20109,678.20737,679.21365,680.21992,681.22620,682.23248,683.23875,684.24503,685.25131,686.25758,687.26386,688.27014,689.27641,690.28269,691.28897,692.29524,693.30152,694.30780,695.31407,Sum, Unlabeled, Labeled, Labeling
,mix,88,pmix1.d,6.654,147392,68743,26438,5568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248140,78.69,16.22,5.09,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,78.69, 21.31, 0.91
,mix,88,pmix2.d,6.171,739695,342612,138947,25022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246275,78.41,15.90,5.69,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,100.00,78.41, 21.59, 0.94
,mix,88,pmix3.d,6.139,634159,321373,133382,29729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118643,75.05,18.52,6.44,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,75.05, 24.95, 1.08
,mix,88,pmix4.d,6.138,662794,297369,112366,25547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098076,80.10,15.08,4.82,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,80.10, 19.90, 0.85
,mix,88,pmix5.d,6.140,520003,246016,97395,20053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883468,77.91,16.58,5.50,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,77.91, 22.09, 0.95
,light,88,pP1_L_C1.d,6.164,3042741,774584,182928,35458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4035711,99.89,0.00,0.00,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,99.89, 0.11, 0.01
,light,88,pP1_L_VPA1.d,6.180,6570310,1631339,378952,64992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8645592,100.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,88,pP2_L_C2.d,6.183,6833888,1673795,374286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8881969,100.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,88,pP2_L_VPA2.d,6.149,3294906,834018,201566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330491,100.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,88,pP3_L_C3.d,6.149,3830475,938592,218073,36978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024117,100.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,88,pP3_L_VPA3.d,6.198,4094900,1022348,251677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5368924,100.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,88,pP3_L_VPA4.d,6.201,8672084,2192784,506140,93215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11464222,99.98,0.00,0.00,0.02,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,99.98, 0.02, 0.00
,light,88,pP4_L_C4.d,6.168,4737425,1170894,277338,52331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6237987,99.95,0.00,0.00,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,99.95, 0.05, 0.01
,light,88,pP4_L_C5.d,6.183,3414891,859720,196668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4471278,100.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,88,pP4_L_VPA5.d,6.185,9963989,2507509,577256,98527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13147281,100.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,88,pP1_H_C1.d,6.164,2865729,4091618,2387533,563189,115338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023408,37.56,44.42,18.02,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,37.56, 62.44, 2.77
,heavy,88,pP1_H_VPA1.d,6.200,1165756,1517573,869369,224339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3777036,40.34,42.50,17.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,40.34, 59.66, 2.65
,heavy,88,pP1_H_VPA2.d,6.196,1290571,1762500,1034470,258961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346502,38.71,43.31,17.97,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,38.71, 61.29, 2.73
,heavy,88,pP2_H_C2.d,6.163,2047403,3051521,1860347,451180,97632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7508083,35.86,44.69,19.45,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,35.86, 64.14, 2.88
,heavy,88,pP2_H_C3.d,6.178,2563261,3754366,2227982,528988,113171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9187767,36.66,44.73,18.60,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,36.66, 63.34, 2.83
,heavy,88,pP2_H_VPA3.d,6.182,2943498,3825279,2092931,496576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9358283,41.01,43.14,15.85,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,41.01, 58.99, 2.58
,heavy,88,pP3_H_C4.d,6.169,2128828,3055669,1763598,414808,87439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7450341,37.55,44.70,17.75,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,37.55, 62.45, 2.77
,heavy,88,pP3_H_VPA4.d,6.184,1868794,2415555,1298943,315362,67793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5966446,41.31,43.17,15.50,0.00,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,41.31, 58.69, 2.56
,heavy,88,pP4_H_C5.d,6.170,4282875,5978714,3310464,772400,160070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14504523,38.81,44.66,16.53,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,38.81, 61.19, 2.68
,heavy,88,pP4_H_VPA5.d,6.167,1352577,1689054,913736,228585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4183952,42.27,42.27,15.46,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,42.27, 57.73, 2.52
,solv,88,psol2.d,6.428,0,0,0,0,4302,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4394,0,0,0,0,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00, 100.00, 13.79
,solv,88,psol3.d,6.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,21.97,1.856,0.95,0.085
,light,0.02,0.035,0.00,0.004
,heavy,60.99,2.145,2.70,0.119
,solv,NaN,,6.90

Valine, Formula, C5H11NO2
, Tgt RT, 7.280, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,118.08626,119.09253,120.09881,121.10509,122.11136,123.11764,124.12392,125.13019,126.13647,127.14275,128.14902,129.15530,Sum,118.08626,119.09253,120.09881,121.10509,122.11136,123.11764,124.12392,125.13019,126.13647,127.14275,128.14902,129.15530,Sum, Unlabeled, Labeled, Labeling
,mix,91,pmix1.d,6.571,2373623,155200,0,0,0,0,0,0,0,0,0,0,2528823,99.48,0.52,0,0,0,0,0,0,0,0,0,0,100.00,99.48, 0.52, 0.05
,mix,91,pmix2.d,6.436,16966760,1078709,0,0,0,22517,0,0,0,0,0,0,18067986,99.52,0.34,0,0,0,0.14,0,0,0,0,0,0,100.00,99.52, 0.48, 0.09
,mix,91,pmix3.d,6.420,16310390,0,0,0,0,0,0,0,0,0,0,0,16310390,100.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,91,pmix4.d,6.420,16812430,0,0,0,0,0,0,0,0,1431,0,0,16813863,99.99,0,0,0,0,0,0,0,0,0.01,0,0,100.00,99.99, 0.01, 0.01
,mix,91,pmix5.d,6.422,16648400,0,0,0,0,0,0,0,0,0,0,0,16648399,100.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,91,pP1_L_C1.d,6.446,28227650,1656762,0,0,0,15814,0,0,0,412,0,0,29900634,99.94,0.00,0,0,0,0.06,0,0,0,0.00,0,0,100.00,99.94, 0.06, 0.03
,light,91,pP1_L_VPA1.d,6.445,41011470,2331728,0,0,0,11623,0,0,0,0,0,0,43354823,99.97,0.00,0,0,0,0.03,0,0,0,0,0,0,100.00,99.97, 0.03, 0.01
,light,91,pP2_L_C2.d,6.447,27060470,0,0,0,0,0,0,0,0,0,0,0,27060468,100.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,91,pP2_L_VPA2.d,6.414,29899190,1773727,0,0,0,25062,0,0,0,0,0,0,31697982,99.91,0.00,0,0,0,0.09,0,0,0,0,0,0,100.00,99.91, 0.09, 0.04
,light,91,pP3_L_C3.d,6.413,23513080,1414895,0,0,0,0,0,0,0,0,0,0,24927971,100.00,0.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
