,Experiment,Folate,Status,Malic Acid,Dihydroxyacetone phosphate (DHAP),Leukotoxin A,Mead Ethanolamide,Noladin,Xanthine,N-Carbamoyl-L-aspartic Acid,Deoxyuridine,4-Hydroxyphenylacetic Acid,Glycerol 1-Phosphate / Glycerol 3-Phosphate,3-Ureidopropionic Acid,Pantothenic Acid,Deoxycytidine,Kynurenic Acid,N-Methylnicotinate,Dehydroascorbic Acid,Phosphocreatine,ATP,UTP,NADP,CMP,Creatine,Aspartic Acid,Oleoyl ethanolamide,Alanine,Sarcosine,Serine,Creatinine,Proline,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Tyrosine,Tryptophan,5'-Methylthioadenosine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,ADP-Glucose,Chenodeoxycholic acid,Phosphatidylethanolamine(32:0),Pyridoxine,NAD,2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Thymine,Adenine,Guanine,Thymidine,Cytidine,Uridine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Cytosine,Dihydroorotic Acid,Archidonoyl glycine,4-Pyridoxic Acid,Biotin,Phenylacetic Acid,Pyroglutamic Acid,4-Aminobutyric Acid (GABA),Ornithine,Glutamine,Histidine,S-Adenosylhomocysteine (SAH),Threonine,O-Phosphoethanolamine,Dodecanoylcarnitine,Hypotaurine,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,N-alpha-Acetylglutamine,N-Acetylglutamic Acid,Kynurenine,"15-deoxy-delta-12,14-Prostaglandin J2",Virodhamine,ADP,Allantoin,Quinolinic Acid,S-Adenosylmethionine (SAM),Deoxycarnitine,Phosphocholine,Glycerol-3-phosphocholine,Sphingosine,Sphingomyelin,Carnitine,Nicotinamide,Nicotinamide Mononucleotide,"5,6-Dihydrouracil",Sphinganine,Choline,Betaine,Arginine,PAF C-16,PAF C18:1,PAF C18,Arachidonoyl-PAF,2-DHLA-PAF,Urea,2-Hydroxy-3-methylpentanoic Acid,Spermidine,Trimethylamine N-oxide,D-Erythrose,NADH,5-Hydroxyhexanoic Acid,Acetylcarnitine,Propionylcarnitine,Butyrylcarnitine,Valerylcarnitine,L-Octanoylcarnitine,3-Phosphoglyceroinositol,"3,5-Tetradecadiencarnitine",cis-5-Tetradecenoylcarnitine,Tetradecanoylcarnitine,Hexadecenoylcarnitine,Palmitoylcarnitine,Linoleyl carnitine,Oleoylcarnitine,Stearoylcarnitine,LysoPE(18:2),LysoPE(18:0),LysoPC(16:1),LysoPC(16:0),LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PC(34:2),PC(36:2),Cysteineglutathione disulfide,AMP,Succinoadenosine
p29_5,ko_exp2,10ppm,N ko/ko,15292.31274,4402.477946,125966.1838,670084.062,15457.80335,1886.424752,92126.09013,17063.46077,2168.504258,4638.322329,45122.3381,336655.574,31076.82478,2645.735439,10090.20849,29932.57347,38421.70974,154813.7235,9427.41638,7879.115774,20975.67755,13764995.58,554284.4373,31794.35997,2827700.245,694453.2321,1566991.536,53997.31352,16656372.07,3909983.389,4648417.52,3899789.269,1420874.436,1732690.105,7954732.617,2535259.891,5398756.949,3723756.753,1285630.79,410997.4036,342560.2568,9956.54637,173797.5595,243846.9722,7085.146392,254539.3244,33995.18316,81019.70965,569934.6939,160234.4504,11675242.57,280034.0939,159923.5915,271026.7475,24498.49442,363264.67,103643.8008,3341.827347,167758.531,106296.8388,175691.2628,16894.00443,12151.09715,23860.37638,5440.411124,45092.27749,10842.97136,90752.66228,1181.809708,7231.732839,1891923.205,255640.7749,29983.65895,308447.3699,10935386.96,502947.9834,179098.2613,3745095.334,145758.6678,5516.658048,320645.8779,12053.41522,244503.8034,6451.921071,56334.08043,21640.53207,318139.7564,46462.12043,759.4404257,202232.976,49504.06967,7752.664547,129396.0813,66457.27003,23105797.29,4515116.197,200444.9834,136771.9457,4481871.047,362612.5799,5196.459718,10261.8727,21805.08761,17430086.11,2606045.549,5389163.866,544772.8342,48377.81414,18832.14736,861171.7617,299966.143,18658.79989,103275.0973,24191.41855,12495.90882,574195.909,16052.90251,105695.97,982535.2548,70584.4334,1273750.501,139938.9319,1600.843414,5765.025537,3130.563217,10880.08237,13092.34598,23149.62428,62553.14984,52978.04802,102990.81,157323.4722,27767.06621,121674.0983,94692.41621,1349737,504487.4612,831069.1996,3099921.286,4754709.584,7045631.709,25092.68041,197693.9752,115082.5852
p118_7,ko_exp2,10ppm,N ko/ko,17897.33678,4135.657405,121688.5158,533788.8296,28423.38423,10093.64743,82794.73244,51388.11062,10704.07972,4277.783681,42716.22533,245022.4842,29331.86023,1757.913923,12209.38017,1280.747384,16450.98114,22353.701,1066.977002,1489.257329,18911.81079,13012040.15,412461.069,26376.35563,2242431.258,633823.1069,1403329.584,37068.65916,14873828.93,3321150.635,4870440.203,3599276.058,1021926,1799138.32,5742106.628,2797919.935,4864992.808,3320870.724,919377.3418,272185.324,293025.7874,4007.684908,28770.84346,44408.1861,2930.106396,71601.7753,31555.56663,37421.44586,82093.99975,114695.5129,10751450.9,56608.60414,114448.1772,554003.0383,38356.2326,456937.3627,126932.5441,7351.826727,184287.5259,113637.2706,166020.3483,1840.560714,8212.187796,8965.484396,983.4188204,40599.84235,208.168563,81133.05004,3965.664515,4824.076819,2964157.709,310997.6244,28535.53081,359084.1599,12731595.33,441314.2796,164729.8211,2252694.461,143071.6306,21804.14025,177808.8184,19593.77768,212930.2255,938.2738577,73080.50011,23144.13411,234056.8583,57762.5612,,128371.6746,104954.9324,7244.88574,993107.7373,61629.25239,2499864.141,2442668.797,184107.8001,107731.9925,4936051.043,231604.1496,4906.978509,16093.0531,35356.10904,18699927.69,4899991.923,5392973.395,463723.294,40884.71876,20481.6244,397425.4206,524368.5857,6139.075442,41469.78356,32699.62369,15652.49406,257647.3313,3132.815685,96723.40022,906272.8308,83837.63099,1256644.538,200982.0681,24962.53346,10329.72843,23246.9509,55177.35704,62910.88299,66709.80261,149973.7464,161015.5546,202282.0191,138001.9547,57707.58378,128464.4549,69401.45632,1395255.857,437600.1276,594316.1565,1969535.161,2502179.85,1253197.878,7014.598353,272730.0665,65803.16152
pKOexp2_QC1,ko_exp2,QC,QC,90.86308939,,12525.02944,14208.52769,1725.375098,,,4483.027205,,,11798.94332,,,165.5011722,1033.612264,165.1339252,121.768196,5518.705646,,,,354642.9793,325306.2779,5239.539388,80340.81356,32403.12058,91579.09696,92461.93373,113767.5442,382121.6665,100039.7303,71711.71979,32544.64605,48305.65401,118696.2553,,13591.21243,,67620.42995,,44791.79892,511.0382313,1051.135318,3021.260455,75.756916,13457.26507,1121.523734,1118.430378,11302.03638,23615.25833,1318.09469,3806.921522,22710.60791,,,9284.935364,,,173.262311,,1646.515247,,,268.1233447,,18055.8818,2104.973667,3394.554003,,,1985.24754,46879.30593,5556.921752,4318.193881,91649.2112,15205.7729,20323.53503,22210.89074,,2889.889814,,,30638.15492,,7222.142313,,17388.07349,9891.723139,2901.015593,2978.494355,,1291.207575,,,241462.3051,63367.16851,,933.4842128,40354.74677,11602.43358,,4775.294405,1967.712058,847397.0358,1650766.667,26412.3867,4308.254215,1527.904784,864.1248312,2039.146555,1051.669061,7391.237885,13557.49659,2228.305351,204.3641456,55532.9205,611.2890387,11421.32834,20443.82232,11911.64492,18518.27,11864.29565,1376.444286,,1420.464554,403.8139178,1994.277382,664.4297264,692.9280399,1483.400985,4343.005902,37964.19287,1948.924263,2055.262289,3267.500587,13889.43986,18145.60429,5502.598396,3589.58302,33779.39222,13672.50461,,1577.412784,2015.2871
pKOexp2_QC2,ko_exp2,QC,QC,,,15102.67094,21409.61621,1464.395259,,,2811.072346,,,18315.08145,,,,1037.018142,,,835.933804,,,,333411.1279,110775.4243,5845.558573,75274.92028,30057.47053,74866.81444,133985.9374,91367.00191,73195.3503,116505.95,72020.52073,30953.0225,35391.61152,79960.94791,,13233.52117,,102875.4376,,50651.87076,347.4302189,648.5208774,1832.251439,102.4335769,11105.93204,798.8527592,,6134.157925,24638.24706,9966.721269,264.4694122,23408.48691,,,5210.572252,,,,75.31281116,452.6884134,,,236.735131,,13309.98778,1496.263462,4820.222472,,74.91168163,4116.272299,66405.31113,5849.112828,3800.923436,68948.90028,15095.14524,20369.06336,21986.58296,,1066.45609,,,34686.03964,296.9915323,7405.03429,,17416.42392,10247.14173,2586.339086,681.5439066,,601.0493701,,,42546.70124,11614.45386,,683.0110356,11208.32332,8533.135917,,6061.635943,1141.387267,230367.8153,1585641.136,21179.16146,2862.972408,986.7775198,1816.146401,1404.676358,1103.891725,12508.34915,15244.87424,1966.52994,608.3160029,56576.70061,1466.25009,11919.0097,17068.6993,11109.20293,19019.8135,11252.34464,1683.687129,73.54437976,1378.043133,347.4092425,5348.412958,534.516548,1362.852503,1384.253919,3777.323441,29316.90797,1550.065858,848.1295219,4548.696369,17277.46068,18141.06397,4889.167368,4781.261206,29171.14774,9475.954211,,,798.5218495
pKOexp2_QC3,ko_exp2,QC,QC,130.7423996,,12786.85762,20954.7049,255.5343986,,,1748.799757,,,11509.5346,,,,1440.915655,,,9677.726934,,,,486577.9264,112616.1377,7080.549163,80082.85502,34535.84535,90512.13477,112481.7567,118013.306,101290.3708,102617.4098,74888.05434,29128.60141,44336.33196,122167.9399,,3020.242291,,91843.57697,83.36288043,47040.89778,581.5945739,844.3927725,2892.164623,,10387.09674,750.1360624,,10926.99217,27201.85871,15979.72609,1615.784722,25510.70794,,,11370.53536,,,344.3863154,,1053.508855,,,459.9622932,,16802.14852,921.0847224,1699.356896,,,3857.202138,57760.3832,4305.247089,3231.376069,89641.80604,15849.61201,16952.72828,,,3092.487104,,,37978.18628,267.2333036,5674.577803,,16846.08154,11142.75073,2971.073521,3543.969887,,1556.208095,,,129160.5008,32385.24143,,1069.703207,24839.05429,12664.47622,,5392.525667,1520.66372,594082.5271,1717968.845,21812.97202,5358.778166,2098.26314,1226.864942,2187.823038,1496.69888,9705.124418,13754.84055,2455.884314,1032.854455,49554.08643,1394.893298,11562.85499,20470.86937,12989.74386,19338.35956,14319.86606,516.7723774,71.22402715,1367.242935,961.9717942,1395.83679,1247.308515,757.7713197,1208.182824,4524.858228,32162.53967,1849.26969,1015.067475,3638.178463,19958.26722,20620.95143,8457.21517,10627.37576,80092.8192,42331.39317,,1995.413989,1668.578551
pKOexp2_QC4,ko_exp2,QC,QC,,,9060.148858,18519.85981,2677.40664,,,3615.487142,,,11323.51459,,,,1072.460572,,123.686386,9834.462904,114.2820353,,,595923.8483,156123.5193,3740.310217,121613.9796,41789.09543,122149.7642,28489.3362,152849.1643,110708.5177,143642.6135,123428.5352,36165.35094,51096.63422,174514.0571,,23360.66273,10118.18011,31476.99616,,75730.64434,547.9598892,1390.474959,3737.520872,,5791.318749,1039.913661,544.4044796,16715.48892,31794.94435,28075.989,2833.887641,30790.58337,,,16712.8663,,166.6865452,,76.27612912,1049.910979,,,399.7609892,,20526.70802,2016.393587,3469.961705,,138.7852051,7302.684257,63925.23297,5739.244767,4965.361941,130830.7051,19382.16918,23613.99682,18642.81562,,1594.606775,,,40776.05873,77.25097639,1477.422995,,13516.86412,11310.61447,3010.440522,6207.623567,,1253.670366,,223.3648141,197912.4271,34829.0795,,650.2596495,36659.44075,25218.94805,,6704.780768,1333.184117,763832.9807,1953819.061,29687.29365,5120.79788,2113.360507,1339.50388,2670.860717,1750.135333,15712.78912,13888.50181,4001.074561,2213.597724,48093.85627,1069.458615,14742.86228,25389.93289,13358.61068,23606.16013,16876.23937,1712.636087,119.4239381,871.4988257,,2061.528253,1799.399864,928.9449667,1384.521364,3257.68049,41131.67055,2192.321993,2910.329845,3865.612043,30327.0118,22762.68099,9163.116064,14821.59676,117208.656,63318.69435,109.1310794,3845.470211,2024.147134
pKOexp2_QC5,ko_exp2,QC,QC,76.95432426,,8421.281477,22175.3549,2546.994033,,,4079.139693,1624.478738,,8866.917028,,,90.29845047,521.1229061,,112.1912092,15368.32053,,649.148713,,475565.3597,130604.7319,3696.011045,111280.193,42807.58085,131134.4448,103831.8716,162176.9513,118400.0631,120842.995,87177.80872,35688.76883,73666.66897,169322.8719,,7963.905643,,56304.71601,467.4842965,51938.33176,354.1609355,406.7021961,1467.456694,,19016.80948,1720.885297,1025.516647,15510.28368,29369.89289,31913.61532,2363.845807,27689.72111,,,18929.37208,,,,164.0779918,1450.812591,114.6705811,108.9573889,296.4080708,,23068.15322,1557.063626,4141.191164,,,2330.532535,37062.79325,5459.630901,5354.535369,195828.6329,18752.64283,10958.02186,56017.36765,,995.138217,,,53972.25238,,13214.53178,,5184.379638,9831.569271,5397.783833,6721.167302,,1433.188708,,,182459.3831,71105.83806,,1707.280697,53551.1134,26101.58842,,4581.785459,1322.735711,1193742.734,1911707.967,40279.50102,4963.971189,2321.746753,1898.938673,4031.94551,2904.768234,8083.624443,13657.42404,4234.087326,625.4209725,49205.4785,624.9437495,12015.56335,29601.9087,16155.84387,23345.4105,15718.12915,2194.760586,,1132.066817,879.9721414,4737.519028,2810.426991,1459.239891,2298.675464,5190.700903,38284.04628,1917.889731,2512.586052,4890.258075,24352.1239,23453.84183,8831.511997,12551.21218,82956.45776,42030.30535,,2239.620553,2847.961167
pKOexp2_QC6,ko_exp2,QC,QC,,,10801.09217,25214.59004,2407.617396,,,3472.791556,584.7638571,,14124.04988,,444.2622432,,1441.322473,,,12168.70179,,120.4169607,103.9410145,502155.683,155705.4058,6721.688399,95007.14553,37742.66563,103401.7467,98974.75346,149497.6155,93582.93997,111867.8276,97217.637,37663.85123,55686.02925,183843.5886,,11354.71351,16810.43974,79367.54297,839.9677426,42219.8545,400.5021629,1284.118625,3139.370671,,12985.03018,1268.871919,1175.117623,14533.84821,27657.02285,41043.68245,2195.312613,26639.88533,,,17326.06469,,248.549369,,82.50044828,884.6132042,,104.6736823,369.9056322,,20269.52624,1393.873469,5006.810421,,,4202.356721,52523.05338,4389.647144,10393.89335,131083.9427,16492.88376,22458.54468,33173.63391,,1479.719677,,,48246.88976,,23880.21301,,1959.141918,11414.43916,3002.118407,4810.21338,,1065.53419,,,204596.0648,68669.78425,,911.2842572,41654.76569,23580.36836,,4878.047113,1620.305274,837841.8669,1739334.878,28008.96289,5905.071571,3083.324319,1464.132553,3529.312901,1653.264835,7091.860756,12937.57942,4898.463837,654.5088847,60322.48323,1018.470936,12338.62451,27319.21195,16001.68775,24581.26612,16000.10709,2317.516351,,1147.578353,365.3177097,6094.925968,711.786416,669.0603934,1262.291814,9412.914085,36824.68907,2962.480645,1777.169884,3892.720791,23827.30785,21495.11642,9798.225814,14890.45366,107019.5906,55935.96693,,3113.591675,2331.747918
pKOexp2_Solv3,ko_exp2,Solv,Solv,13954.76083,2901.750841,126556.1709,277257.1293,8254.130247,67181.47041,111820.8829,97535.79563,26131.78345,5747.771464,72537.56058,754769.8974,28960.01108,16966.6839,17350.08025,11355.77331,53146.47565,72047.53392,1779.470423,6912.123305,23691.7489,13350547.52,580385.9808,16114.77659,2159857.609,629876.1692,967460.5496,118485.6025,14935317.49,3625452.57,4028356.946,3552786.776,1151274.742,2051678.147,5725808.561,2062237.983,4733423.113,3137977.672,1270073.54,487482.1447,232785.6659,6639.178165,195599.5717,255030.8562,5843.739553,172341.7171,22946.12838,37574.63501,658198.7964,237684.9225,10883018.89,346584.4015,237464.8558,1013020.514,85251.97122,559452.991,89585.06631,30422.72975,370959.5626,346493.7298,152717.1003,7948.490197,2074.653466,30596.23308,35080.54437,37752.18279,5023.169161,38921.00199,14780.32793,35253.08561,3292476.841,141312.8421,26734.50937,270687.7254,8728944.447,533146.9458,174224.1124,3161611.609,233400.0772,11481.08841,186123.7884,17968.69081,369186.0199,3653.536487,66706.87463,30513.65691,259758.9847,65444.97372,13949.02764,117252.5697,275438.3215,8095.498906,327969.8326,120545.9066,13596370.17,6468288.041,147195.402,39833.50481,7325753.506,197483.7205,3534.490896,34749.94698,25517.25049,17412057.33,4471542.267,4750097.976,400582.0131,35534.96097,16323.08862,710190.6464,259924.2703,13356.94846,43271.20397,22694.66554,14653.94797,129053.1638,3224.522605,35696.14135,1455689.617,133992.4716,1778654.202,146103.4783,9642.497115,14939.33096,11674.29175,26594.50801,37004.49208,40171.78387,99112.2858,66951.2643,159984.494,161205.3663,21309.68424,98214.18413,95250.32412,1461772.85,501796.8766,799827.011,2172604.052,20861792.53,8277476.247,16854.06243,228169.0077,84868.28365
pKOexp2_Solv4,ko_exp2,Solv,Solv,15154.39444,3767.951419,122253.0872,263841.9969,21825.17154,69562.9386,122941.5224,96465.54385,61052.7942,8205.892722,84595.15796,794146.6691,23382.03823,15526.45838,16577.57952,14335.704,64804.53875,67774.51704,1583.184384,3489.45251,27262.7417,16762782.84,841716.5495,30451.68362,3195353.615,821976.8534,1388052.227,105099.8395,18383372.96,4341898.009,5052661.948,4338774.591,1532199.763,2603500.818,7904768.219,2491523.516,5482961.964,3684906.387,1228638.769,599348.5315,408683.1771,7043.948116,35156.71122,497.5022905,3419.418397,293017.7341,23711.01993,44321.81021,54862.35935,290956.8453,13598057.59,29275.99421,290831.5835,1020335.189,77340.66644,646596.1705,111058.0475,24835.7938,393384.1069,398957.8927,202372.7826,8995.875164,4586.384183,26009.22678,36237.52135,39251.99691,5048.739953,31148.25653,10949.77907,28722.94849,3468670.838,170152.0109,28503.26096,364068.1787,12119803.02,576080.1534,198338.05,3837490.659,287247.1472,13817.89125,268776.9476,19964.57585,489700.6729,4942.316724,79313.8567,24920.67172,211280.1308,62951.81518,5650.544484,140795.7694,288664.6329,9370.302359,333415.2154,137331.4246,17071917.9,6934406.907,160120.9415,41728.48931,8054555.064,252645.3802,2970.285576,34257.30197,34424.23262,17937970.97,4911086.752,5520922.483,341173.7989,31582.1219,13833.68646,187197.6697,315320.2981,15298.31411,55749.55657,46225.69125,20584.48078,138337.3638,3266.792785,41913.29574,1557638.883,131739.7007,1676488.926,147366.4618,10365.61411,17665.17246,14050.28648,30879.33797,19489.12089,45541.06908,67953.56202,71011.67683,171442.4747,194387.0047,19754.77438,100155.2374,87349.6931,1444778.294,331548.0225,702681.0794,940857.8865,664707.0775,405913.3822,21348.12091,263364.1788,88589.35038
