Xanthurenic Acid, Formula, C10H7NO4
, Tgt RT, 1.030, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,, Corrected Abundance Percentages,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,204.03023,205.03651,206.04278,207.04906,208.05534,209.06162,210.06789,211.07417,Sum,204.03023,205.03651,206.04278,207.04906,208.05534,209.06162,210.06789,211.07417,Sum, Unlabeled, Labeled, Labeling
,mix,3,nmix1.d,1.883,6701,6694,0,0,0,0,0,0,13395,52.95,47.05,0,0,0,0,0,0,100.00,52.95, 47.05, 6.72
,light,92,nP2_L_C2.d,6.531,7201040,465235,0,0,0,0,0,7666275,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP2_L_VPA2.d,6.528,9807927,622434,0,0,0,0,0,10430361,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP3_L_C3.d,6.530,8568644,533586,0,0,0,0,0,9102230,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP3_L_VPA3.d,6.532,10272580,645194,0,0,0,0,0,10917771,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP3_L_VPA4.d,6.528,9265806,594303,0,0,0,0,0,9860109,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP4_L_C4.d,6.548,8029427,501807,0,0,0,0,0,8531234,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP4_L_C5.d,6.544,9212290,583927,0,0,0,0,0,9796217,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,92,nP4_L_VPA5.d,6.537,9379638,617623,0,0,0,0,0,9997261,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,92,nP1_H_C1.d,6.544,9440688,595813,0,0,0,0,0,10036501,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,92,nP1_H_VPA1.d,6.560,10743530,733161,0,0,0,0,0,11476691,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,92,nP1_H_VPA2.d,6.542,11001890,721697,0,0,0,0,0,11723588,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,92,nP2_H_C2.d,6.563,8582197,565606,0,0,0,0,0,9147803,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,92,nP2_H_C3.d,6.544,8951399,622297,0,0,0,0,0,9573696,99.92,0.08,0,0,0,0,0,100.00,99.92, 0.08, 0.01
,heavy,92,nP2_H_VPA3.d,6.548,10200680,716923,0,0,0,0,0,10917600,99.84,0.16,0,0,0,0,0,100.00,99.84, 0.16, 0.03
,heavy,92,nP3_H_C4.d,6.534,9665630,659561,0,0,0,0,0,10325191,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,92,nP3_H_VPA4.d,6.550,10130930,721418,0,0,0,0,0,10852347,99.75,0.25,0,0,0,0,0,100.00,99.75, 0.25, 0.04
,heavy,92,nP4_H_C5.d,6.567,8306412,581487,0,0,0,0,0,8887899,99.87,0.13,0,0,0,0,0,100.00,99.87, 0.13, 0.02
,heavy,92,nP4_H_VPA5.d,6.547,11244960,738287,0,0,0,0,0,11983244,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,solv,92,sol1.d,6.682,0,0,0,0,0,12908,0,12908,0,0,0,0,0,100.00,0,100.00,0.00, 100.00, 83.33
,solv,92,sol2.d,6.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,0.09,0.140,0.02,0.023
,light,0.02,0.039,0.00,0.007
,heavy,0.06,0.089,0.01,0.015
,solv,NaN,,41.67

Fumaric Acid, Formula, C4H4O4
, Tgt RT, 7.380, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,, Corrected Abundance Percentages,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,Abund,m+0,m+1,m+2,m+3,m+4,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,115.00368,116.00996,117.01624,118.02251,119.02879,Sum,115.00368,116.00996,117.01624,118.02251,119.02879,Sum, Unlabeled, Labeled, Labeling
,mix,94,nmix1.d,6.799,3561679,184308,0,0,0,3745987,99.38,0.62,0,0,0,100.00,99.38, 0.62, 0.16
,mix,94,nmix2.d,6.750,3252632,136646,0,0,0,3389278,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,mix,94,nmix3.d,7.280,21588,0,0,0,0,21588,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,94,nmix4.d,7.296,53742,0,0,0,0,53742,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,94,nmix5.d,7.313,40575,0,0,0,0,40575,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,94,rnmix1.d,6.802,3729118,180061,0,0,0,3909179,99.72,0.28,0,0,0,100.00,99.72, 0.28, 0.07
,light,94,nP1_L_C1.d,6.791,0,0,8239336,390587,0,8629923,0,0,99.75,0.25,0,100.00,0.00, 100.00, 50.06
,light,94,nP1_L_VPA1.d,6.796,4078900,192247,0,0,0,4271147,99.84,0.16,0,0,0,100.00,99.84, 0.16, 0.04
,light,94,nP2_L_C2.d,6.780,0,0,9841085,444549,0,10285634,0,0,99.97,0.03,0,100.00,0.00, 100.00, 50.01
,light,94,nP2_L_VPA2.d,6.760,5280802,220185,0,0,0,5500987,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,light,94,nP3_L_C3.d,6.762,0,0,7748922,351110,0,8100032,0,0,99.96,0.04,0,100.00,0.00, 100.00, 50.01
,light,94,nP3_L_VPA3.d,6.764,4870856,212891,0,0,0,5083747,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,light,94,nP3_L_VPA4.d,6.760,5238579,225100,0,0,0,5463678,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,light,94,nP4_L_C4.d,6.779,0,0,8350878,384025,0,8734903,0,0,99.89,0.11,0,100.00,0.00, 100.00, 50.03
,light,94,nP4_L_C5.d,6.776,0,0,8250324,383450,0,8633774,0,0,99.84,0.16,0,100.00,0.00, 100.00, 50.04
,light,94,nP4_L_VPA5.d,6.768,5093878,220788,0,0,0,5314666,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,94,nP1_H_C1.d,6.776,0,0,9196358,415127,0,9611485,0,0,99.98,0.02,0,100.00,0.00, 100.00, 50.01
,heavy,94,nP1_H_VPA1.d,6.775,4421244,212205,0,0,0,4633449,99.75,0.25,0,0,0,100.00,99.75, 0.25, 0.06
,heavy,94,nP1_H_VPA2.d,6.774,4478538,205538,0,0,0,4684076,99.96,0.04,0,0,0,100.00,99.96, 0.04, 0.01
,heavy,94,nP2_H_C2.d,6.795,0,0,8170799,371274,0,8542073,0,0,99.95,0.05,0,100.00,0.00, 100.00, 50.01
,heavy,94,nP2_H_C3.d,6.776,0,0,7730488,346504,0,8076992,0,0,100.00,0.00,0,100.00,0.00, 100.00, 50.00
,heavy,94,nP2_H_VPA3.d,6.763,4646316,218813,0,0,0,4865128,99.84,0.16,0,0,0,100.00,99.84, 0.16, 0.04
,heavy,94,nP3_H_C4.d,6.783,0,0,8487892,380638,0,8868530,0,0,100.00,0.00,0,100.00,0.00, 100.00, 50.00
,heavy,94,nP3_H_VPA4.d,6.782,4212456,213531,0,0,0,4425987,99.48,0.52,0,0,0,100.00,99.48, 0.52, 0.13
,heavy,94,nP4_H_C5.d,6.815,0,0,11155400,512222,0,11667620,0,0,99.90,0.10,0,100.00,0.00, 100.00, 50.03
,heavy,94,nP4_H_VPA5.d,6.762,4693373,212462,0,0,0,4905835,100.00,0.00,0,0,0,100.00,100.00, 0.00, 0.00
,solv,94,sol1.d,6.897,0,0,2502808,107974,0,2610782,0,0,100.00,0.00,0,100.00,0.00, 100.00, 50.00
,solv,94,sol2.d,6.760,0,0,339758,10136,0,349894,0,0,100.00,0.00,0,100.00,0.00, 100.00, 50.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,0.15,0.257,0.04,0.064
,light,50.02,52.688,25.02,26.364
,heavy,50.10,52.604,25.03,26.332
,solv,100.00,,50.00

FAD, Formula, C27H33N9O15P2
, Tgt RT, 7.470, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,m+13,m+14,m+15,m+16,m+17,m+18,m+19,m+20,m+21,m+22,m+23,m+24,m+25,m+26,m+27,m+28,m+29,m+30,m+31,m+32,m+33,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,m+13,m+14,m+15,m+16,m+17,m+18,m+19,m+20,m+21,m+22,m+23,m+24,m+25,m+26,m+27,m+28,m+29,m+30,m+31,m+32,m+33,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,784.14986,785.15613,786.16241,787.16869,788.17496,789.18124,790.18752,791.19380,792.20007,793.20635,794.21263,795.21890,796.22518,797.23146,798.23773,799.24401,800.25029,801.25656,802.26284,803.26912,804.27539,805.28167,806.28795,807.29422,808.30050,809.30678,810.31305,811.31933,812.32561,813.33188,814.33816,815.34444,816.35071,817.35699,Sum,784.14986,785.15613,786.16241,787.16869,788.17496,789.18124,790.18752,791.19380,792.20007,793.20635,794.21263,795.21890,796.22518,797.23146,798.23773,799.24401,800.25029,801.25656,802.26284,803.26912,804.27539,805.28167,806.28795,807.29422,808.30050,809.30678,810.31305,811.31933,812.32561,813.33188,814.33816,815.34444,816.35071,817.35699,Sum, Unlabeled, Labeled, Labeling
,mix,97,nmix1.d,7.014,6632,26295,23320,10483,5344,0,0,0,0,0,0,0,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3418,0,0,0,0,0,0,78286,11.06,41.58,25.80,6.01,3.76,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,100.00,11.06, 88.94, 11.26
,mix,97,nmix2.d,6.982,2564,14018,13126,4532,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398,0,0,0,0,0,0,0,0,0,41005,7.95,42.89,28.35,1.60,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,0.00,0,0,0,0,0,0,100.00,7.95, 92.05, 13.14
,mix,97,nmix3.d,7.247,0,0,0,0,0,0,0,0,0,0,0,0,5787,4450,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,12911,0,0,0,0,0,0,0,0,0,0,0,0,59.40,27.14,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,100.00,0.00, 100.00, 42.03
,mix,97,nmix4.d,7.213,0,0,1545,0,0,0,0,0,0,0,950,0,3519,2988,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,0,1700,0,13645,0,0,11.34,0,0,0,0,0,0,0,7.42,0,29.28,15.94,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94,0,18.00,0,100.00,0.00, 100.00, 50.27
,mix,97,nmix5.d,7.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,mix,97,rnmix1.d,6.868,4126,3384,6903,2565,0,0,0,4395,1254,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23926,22.57,10.48,33.05,0.85,0,0,0,25.35,0.00,0,0,0,0,0,0,0,0,0,0,7.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,22.57, 77.43, 12.21
,light,97,nP1_L_C1.d,6.957,0,0,0,0,0,0,0,0,0,0,0,0,15180,3657,3791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3869,6912,33410,0,0,0,0,0,0,0,0,0,0,0,0,48.73,0.00,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64,28.22,100.00,0.00, 100.00, 64.25
,light,97,nP1_L_VPA1.d,7.028,6406,27500,9832,4949,0,0,0,4233,0,0,0,0,3344,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58040,14.11,58.73,1.84,4.72,0,0,0,9.30,0,0,0,0,7.76,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,14.11, 85.89, 8.62
,light,97,nP2_L_C2.d,6.978,3208,9297,6441,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,20372,19.84,52.58,18.13,0,0,0,0,0,0,0,0,6.21,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,100.00,19.84, 80.16, 7.32
,light,97,nP2_L_VPA2.d,6.991,0,25545,13962,4686,0,0,0,0,0,0,0,0,9759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53952,0.00,62.04,13.41,0.86,0,0,0,0,0,0,0,0,23.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00, 100.00, 11.39
,light,97,nP3_L_C3.d,7.209,4168,6990,6052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17210,31.55,43.16,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,31.55, 68.45, 2.84
,light,97,nP3_L_VPA3.d,7.227,1173,10723,7075,2750,0,0,0,0,0,0,0,1657,4376,0,2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30575,4.59,44.49,15.44,2.00,0,0,0,0,0,0,0,6.12,16.37,0,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,4.59, 95.41, 15.12
,light,97,nP3_L_VPA4.d,6.992,2499,21350,9824,4065,0,0,3070,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42436,7.51,67.70,9.19,3.48,0,0,10.50,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,7.51, 92.49, 5.18
,light,97,nP4_L_C4.d,7.210,1136,9109,6616,2836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,0,0,0,0,0,0,0,0,21310,6.56,54.76,23.01,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,100.00,6.56, 93.44, 12.20
,light,97,nP4_L_C5.d,7.239,300,3858,7551,0,0,0,0,0,0,0,0,0,0,4147,0,0,0,0,0,0,0,0,0,0,0,3269,0,0,0,0,0,0,0,0,19125,1.54,21.32,31.82,0,0,0,0,0,0,0,0,0,0,23.98,0,0,0,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0,100.00,1.54, 98.46, 28.19
,light,97,nP4_L_VPA5.d,7.000,0,26646,12077,4921,0,0,0,0,0,0,0,0,0,5039,4022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52705,0.00,68.80,8.28,3.17,0,0,0,0,0,0,0,0,0,13.99,5.76,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00, 100.00, 10.83
,heavy,97,nP1_H_C1.d,7.206,1804,9404,12149,10425,5208,0,0,0,0,0,0,0,0,0,3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42878,5.37,27.26,28.31,21.28,5.28,0,0,0,0,0,0,0,0,0,12.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,5.37, 94.63, 10.42
,heavy,97,nP1_H_VPA1.d,7.006,0,17870,24438,10394,2928,0,0,1694,0,0,0,0,9226,0,4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71525,0.00,32.42,34.41,5.12,0.00,0,0,2.95,0,0,0,0,17.10,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00, 100.00, 13.77
,heavy,97,nP1_H_VPA2.d,7.022,720,10503,16489,9531,5462,0,0,0,0,0,0,0,8508,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278,0,56991,1.37,22.33,29.04,9.69,5.20,0,0,0,0,0,0,0,19.02,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,100.00,1.37, 98.63, 20.32
,heavy,97,nP2_H_C2.d,6.993,2702,12884,20844,14168,5487,0,0,0,0,0,0,0,8188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64273,5.38,24.49,34.81,16.21,1.96,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,5.38, 94.62, 10.80
,heavy,97,nP2_H_C3.d,7.223,250,8028,11391,7904,4657,0,0,0,0,0,0,0,0,0,3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35737,0.64,29.30,32.72,16.43,7.48,0,0,0,0,0,0,0,0,0,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.64, 99.36, 10.97
,heavy,97,nP2_H_VPA3.d,7.011,3773,21509,28462,14839,7331,0,0,0,0,0,0,0,2581,0,0,0,0,0,1947,1552,0,0,0,0,0,0,0,3005,0,0,0,0,0,0,84998,5.66,31.70,34.26,9.57,4.24,0,0,0,0,0,0,0,4.11,0,0,0,0,0,3.44,1.45,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,100.00,5.66, 94.34, 13.19
,heavy,97,nP3_H_C4.d,6.998,1611,13191,21923,10713,4590,0,0,0,0,0,0,0,9862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61890,3.17,26.56,38.06,8.20,2.80,0,0,0,0,0,0,0,21.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,3.17, 96.83, 11.91
,heavy,97,nP3_H_VPA4.d,6.997,3567,32820,37505,24704,6660,0,0,0,0,0,0,0,0,0,3184,0,0,0,3214,0,0,661,0,0,0,0,0,0,0,0,0,0,0,0,112314,3.96,38.29,32.68,16.06,0.00,0,0,0,0,0,0,0,0,0,3.98,0,0,0,4.19,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,100.00,3.96, 96.04, 9.10
,heavy,97,nP4_H_C5.d,7.014,1438,17907,24649,17301,6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67811,2.63,35.81,39.08,20.47,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,2.63, 97.37, 5.56
,heavy,97,nP4_H_VPA5.d,7.010,0,7216,11688,5040,0,0,0,0,0,0,186,0,0,3289,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29487,0,31.98,42.64,4.14,0,0,0,0,0,0,0.82,0,0,16.38,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00, 100.00, 12.34
,solv,97,sol1.d,7.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,solv,97,sol2.d,7.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,NaN,NaN,21.48,19.861
,light,91.43,10.416,16.59,18.123
,heavy,97.18,2.245,11.84,3.778
,solv,NaN,,0.00

Succinic Acid, Formula, C4H6O4
, Tgt RT, 7.660, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,, Corrected Abundance Percentages,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,117.01933,118.02561,119.03189,120.03816,121.04444,122.05072,123.05699,Sum,117.01933,118.02561,119.03189,120.03816,121.04444,122.05072,123.05699,Sum, Unlabeled, Labeled, Labeling
,mix,98,nmix1.d,6.816,3964196,192693,0,18796,0,0,0,4175685,99.23,0.28,0,0.48,0,0,0.00,100.00,99.23, 0.77, 0.29
,mix,98,nmix2.d,6.767,2503685,122802,0,8991,0,0,0,2635478,99.31,0.33,0,0.36,0,0,0,100.00,99.31, 0.69, 0.24
,mix,98,nmix3.d,6.767,1367974,67584,0,0,0,0,0,1435557,99.63,0.37,0,0,0,0,0,100.00,99.63, 0.37, 0.06
,mix,98,nmix4.d,6.750,949781,48914,0,0,0,0,0,998696,99.43,0.57,0,0,0,0,0,100.00,99.43, 0.57, 0.10
,mix,98,nmix5.d,6.783,766102,41317,0,0,0,0,0,807419,99.18,0.82,0,0,0,0,0,100.00,99.18, 0.82, 0.14
,mix,98,rnmix1.d,6.802,4800867,224655,0,13607,0,0,0,5039129,99.61,0.10,0,0.29,0,0,0,100.00,99.61, 0.39, 0.16
,light,98,nP1_L_C1.d,6.808,7918309,380088,0,0,0,0,0,8298397,99.78,0.22,0,0,0,0,0,100.00,99.78, 0.22, 0.04
,light,98,nP1_L_VPA1.d,6.813,4190966,201281,0,0,0,0,0,4392247,99.77,0.23,0,0,0,0,0,100.00,99.77, 0.23, 0.04
,light,98,nP2_L_C2.d,6.796,9570280,434112,0,0,0,0,0,10004392,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,98,nP2_L_VPA2.d,6.776,4284081,204485,0,15738,0,0,0,4504304,99.43,0.20,0,0.37,0,0,0.00,100.00,99.43, 0.57, 0.22
,light,98,nP3_L_C3.d,6.778,7563142,341190,0,12126,0,0,0,7916458,99.84,0.00,0,0.16,0,0,0,100.00,99.84, 0.16, 0.08
,light,98,nP3_L_VPA3.d,6.781,4022471,196148,0,0,0,0,0,4218618,99.70,0.30,0,0,0,0,0,100.00,99.70, 0.30, 0.05
,light,98,nP3_L_VPA4.d,6.777,4249034,200642,0,14240,0,0,0,4463916,99.51,0.15,0,0.34,0,0,0,100.00,99.51, 0.49, 0.20
,light,98,nP4_L_C4.d,6.779,8160427,373721,0,10240,0,0,0,8544389,99.87,0.00,0,0.13,0,0,0,100.00,99.87, 0.13, 0.06
,light,98,nP4_L_C5.d,6.776,8026656,367972,0,14977,0,0,0,8409605,99.80,0.01,0,0.19,0,0,0,100.00,99.80, 0.20, 0.10
,light,98,nP4_L_VPA5.d,6.802,4396139,199998,0,0,0,0,873,4597011,99.98,0.00,0,0,0,0,0.02,100.00,99.98, 0.02, 0.02
,heavy,98,nP1_H_C1.d,6.792,8984685,399764,0,0,0,0,0,9384449,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,98,nP1_H_VPA1.d,6.808,2814351,139361,0,0,0,0,0,2953712,99.62,0.38,0,0,0,0,0,100.00,99.62, 0.38, 0.06
,heavy,98,nP1_H_VPA2.d,6.791,2378846,118271,0,0,0,0,0,2497117,99.60,0.40,0,0,0,0,0,100.00,99.60, 0.40, 0.07
,heavy,98,nP2_H_C2.d,6.795,7998143,360860,0,0,0,0,0,8359003,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,98,nP2_H_C3.d,6.792,7324166,326054,0,0,0,0,0,7650219,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,98,nP2_H_VPA3.d,6.796,3384584,161754,0,0,0,0,0,3546338,99.80,0.20,0,0,0,0,0,100.00,99.80, 0.20, 0.03
,heavy,98,nP3_H_C4.d,6.783,8279807,367421,0,0,0,0,0,8647228,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,98,nP3_H_VPA4.d,6.798,3624744,171167,0,15183,0,0,0,3811094,99.43,0.15,0,0.43,0,0,0,100.00,99.43, 0.57, 0.24
,heavy,98,nP4_H_C5.d,6.832,11061180,506650,0,0,0,0,0,11567829,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,98,nP4_H_VPA5.d,6.778,2700185,128894,0,0,0,0,0,2829078,99.80,0.20,0,0,0,0,0,100.00,99.80, 0.20, 0.03
,solv,98,sol1.d,6.880,1587336,71490,0,0,0,0,0,1658826,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,solv,98,sol2.d,6.760,273346,9078,0,0,0,0,0,282424,100.00,0.00,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,0.60,0.190,0.16,0.086
,light,0.23,0.182,0.08,0.073
,heavy,0.18,0.211,0.04,0.073
,solv,0.00,,0.00

N-Acetylglutamic Acid, Formula, C7H11NO5
, Tgt RT, 7.710, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,Abund,%, %, % Fractional
