,Experiment,Folate,Status,2-Hydroxybutyric Acid,Glutaric Acid,dTDP-Glucose,Lactic Acid,Fumaric Acid,Oxaloacetic Acid,Malic Acid,Ascorbic Acid,D-Glucose,Citric Acid,D-Fructose 6-phosphate,Succinic Acid,Acetoacetic Acid,Caprylic Acid,Estradiol-17alpha,alpha-Linolenic Acid (18:3 n-3),Linoleic Acid,Leukotoxin A,Eicosapentaenoic Acid (20:5 n-3),Arachidonic Acid,Dihomo-gamma-linolenic Acid,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",11(Z)-Eicosenoic Acid,Docosahexaenoic Acid (22:6 n-3),Docosapentaenoic Acid,Adrenic Acid (22:4 n-6),"2,3-dinor Thromboxane B2",Adrenoyl ethanolamide,Palmitoyl dopamine,Oleoyl dopamine,Docosatrienoic Acid (22:3 n-3),Brassidic Acid,Xanthine,Uric Acid,N-Carbamoyl-L-aspartic Acid,Uridine diphosphate (UDP),2-Oxoglutaric Acid,3-Hydroxybutyric Acid,Glycerol 1-Phosphate / Glycerol 3-Phosphate,3-Ureidopropionic Acid,Nitrotyrosine,N-Acetylserine,Pantothenic Acid,N-Acetylalanine,Deoxycytidine,Kynurenic Acid,Dehydroascorbic Acid,Methylglyoxal,Phosphocreatine,ATP,2-Oxoadipic Acid,UTP,Ketoleucine,4-Hydroxyphenyllactic Acid,Heptadecanoic Acid,Palmitic Acid,NADP,CMP,D-Glucose 6-phosphate,Creatine,Aspartic Acid,Caproic Acid,Oxalic Acid,Alanine,Sarcosine,Serine,Proline,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Quinaldic Acid,Citrulline,Tyrosine,Tryptophan,Indoxyl Sulfate,3-Hydroxykynurenine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,2-Phosphoglyceric Acid,ADP-Glucose,Chenodeoxycholic acid,CDP-Choline,Phosphatidylethanolamine(32:0),NAD,Flavin adenine dinucleotide (FAD),2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Adenine,Hypoxanthine,Guanine,Cytidine,Uridine,Adenosine,Inosine,Guanosine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Dihydroorotic Acid,Retinoic Acid,Glucuronic Acid,Myristic Acid,Oleic Acid,Pyroglutamic Acid,Ornithine,Glutamine,Histidine,5-Hydroxytryptophan,S-Adenosylhomocysteine (SAH),Threonine,N-Acetylneuraminic Acid,UDP-Galactose,Phosphoenolpyruvate,O-Phosphoethanolamine,Hypotaurine,Glutathione,Orotic Acid,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,2-Aminoadipic Acid,N-Acetylglutamic Acid,Kynurenine,O-Succinylhomoserine,Pipecolinic Acid,D12-Prostaglandin J2,Arachidonyl dopamine,Urocanic Acid,N-Acetylglycine,ADP,Allantoin,Quinolinic Acid,N-Acetylaspartic Acid,UDP-Glucose,5-Hydroxyindoleacetic Acid (5HIAA),"5,6-Dihydrouracil",Arginine,D-Fructose,Sulfite,Thiosulfate,2-Hydroxy-3-methylpentanoic Acid,UDP-Glucuronic acid,Pyruvate,D-Glyceraldehyde 3-phosphate (G3P),cis-Aconitic Acid,NADH,Glycerylphosphorylethanolamine,3-Phosphoglyceroinositol,"13Z,16Z-Docosadienoic Acid",Cholesterol Sulfate,LysoPE(18:2),LysoPE(18:0),Glycerol 1-phosphoserine,Orotidine,AMP,Succinoadenosine,Deoxythymidine triphosphate (dTTP)
n315_5,cd_exp2,10ppm,N cd/cd,188743.9656,28579.96208,100644.9313,51501287.42,70691.67668,49844.93263,4466480.659,5604.788713,117869.2976,5825262.842,5040.719416,605354.721,118181.0931,29750.48995,72502.77155,,65443.35704,7696.556422,8420.063715,46200.81251,,350.3592555,10157.62902,30078.28087,8385.766494,9356.382569,72730.62096,5680.325966,,,,7917.233643,45860.31446,151128.1213,1378427.844,56701.72296,713488.8582,187036.3821,2550.116056,66566.47921,4270.204767,25457.84847,453997.8496,96616.6134,11620.04572,6020.081828,281872.7838,379692.7871,12624.88831,257288.2301,16428.57377,41711.01109,220763.8461,58876.70277,132466.9217,4602862.761,3020.824076,16331.61181,853.7927706,288443.4692,3459908.959,19120.01558,513373.9186,2478760.025,278224.2206,942013.4805,1711773.488,1264703.61,883637.7623,1258993.602,485070.6207,1133577.755,9444215.506,463822.7294,995812.2826,30570.38125,12549.00168,948894.0075,176641.1791,6548.936621,7903.215736,1302668.336,6727.725871,1111749.151,3958400.34,14447.09216,15658.80981,3861.181173,,18076.0427,339670.7177,2228.158331,1579612.787,12848418.12,171079.2498,1580052.316,704308.614,55168.66163,818339.1499,23217.07066,42374.79897,109782.028,19625.94289,150412.2376,46702.53806,457680.0973,25633.01804,16810.70266,38614.73464,46298.33185,142759.6778,3251.701341,52739.13668,348670.3424,217303.2494,457908.5562,105842.6856,1184461.725,100040.5759,17543.9319,26238.16566,833602.0461,19038.934,765196.8593,7449.191437,251965.5884,128282.6304,987911.2409,277722.0011,9230.18985,361469.9113,19819.715,208167.5643,199976.9562,5188.473647,163775.8027,11593.34888,20449.55473,67782.17527,48446.78403,53686.42558,348343.0441,177188.6797,15152.904,3699187.749,1367837.752,55354.64828,44758.29368,38266.7377,25592.77119,123653.1197,215854.9028,31115.33811,151177.8681,1845291.987,91942.11972,38935.78314,6012.534622,9787.842779,318975.4433,,140136.2881,9163.238713,44833.27585,22561.68621,260054.7995,107236.5124,47690.52879,4010.097104
nCDexp2_QC1,cd_exp2,QC,QC,340292.16,55521.50766,182631.4397,73861904.3,131645.3388,78814.7203,6503086.739,1678.808603,199837.0823,8985809.353,12779.6481,800569.1763,143308.5076,485610.7418,,54394.67191,678230.7723,66157.77637,71719.83324,258778.1686,32492.48382,6219.916224,48946.55172,97239.88674,20488.33467,59358.87793,13156.66187,141825.001,310699.7422,6728143.065,,32988.1603,237555.5571,177343.4354,1557991.182,40069.36771,746316.9914,1379489.418,12737.48173,93139.583,238.1226495,24478.65064,839991.4853,109505.3497,14511.35059,15733.59106,169504.3401,532712.766,24412.05195,72621.06422,30713.03754,,301316.6473,107280.1236,114514.2186,4046009.577,1215.224662,38245.83735,15836.30721,491938.2583,4036281.446,788260.9175,1029586.784,3778765.95,649551.6615,1786921.071,3055229.975,2567054.403,1801998.773,2626438.474,855957.9476,1585599.494,12545337.48,932027.3684,1788003.61,4610.321158,23317.68704,1629286.321,394441.8601,6350.095741,10979.5168,1426784.751,14588.38722,3379547.449,8055115.722,22433.94806,29863.61903,,13123.96147,35995.15843,578838.7288,3953.37917,2045668.51,14821046.67,394022.6287,2046490.238,886552.3082,55316.97232,1180458.229,49720.80417,89741.1527,250838.1674,12574.07892,272427.9831,42924.24418,1361706.116,11441.56751,,97823.10279,78036.12586,156120.6771,25981.26073,71961.54698,342490.0166,953787.2839,721042.3506,173224.0318,4058407.805,199745.3608,25342.81603,40138.73087,1269716.323,43537.40379,1749001.392,15430.03369,405265.2579,243415.9353,319946.0217,268656.8975,20906.09468,62953.8406,29995.88878,321869.7233,324235.6029,23385.24317,265082.2633,9448.985013,97798.67909,8928.372359,82945.89376,69078.52042,231662.4718,360714.7515,46932.8928,4826050.386,2681490.805,83365.47062,,123136.5652,105862.3911,72032.53373,302472.5977,116498.8903,65813.79083,2242483.476,123280.5475,119315.1122,4900.864271,18632.49744,295371.98,910.0799261,132620.3001,17006.07156,115723.5514,44281.63175,309089.3778,203036.0673,99268.98724,27292.19495
nCDexp2_QC2,cd_exp2,QC,QC,293242.9555,41802.06302,161619.4437,72747236.67,125177.9132,82215.51777,4801261.347,941.3794404,198523.2151,9355046.05,12193.14423,542944.3449,122669.7542,500768.3197,,47338.06103,720525.2871,63245.09227,69395.20248,270699.8223,33136.48199,7638.242432,51041.65175,99280.68835,20573.95538,62031.78838,13274.2454,136711.757,311226.1762,6772785.395,4183.734568,30198.39597,234170.2565,178518.2646,1218118.441,44382.19694,883448.2438,1359898.934,13313.88905,98888.47777,512.3014241,25340.88739,820782.1498,97339.12605,14507.09704,15861.97465,136045.8519,520301.2701,21332.21823,76152.12703,31761.91924,,329409.0041,115928.5585,118632.7008,4251963.51,2633.508197,35894.48188,15946.56825,469146.7069,3012483.998,855182.8869,765323.8412,2678753.413,614076.2993,1289733.924,2966719.133,1968578.73,1560020.425,2550624.582,675093.3744,1625582.85,9314852.91,912124.2286,1806780.864,3289.220925,19978.47392,1604355.485,376096.8473,5498.046308,11432.40783,1207775.31,10978.88345,2464762.632,6553845.227,22064.90811,18665.22116,,11653.39838,31645.96769,544668.4087,1736.527683,1495845.302,14525098.94,387160.9276,1496885.511,844884.3286,52789.79194,1141833.455,47840.44342,83390.90451,240923.265,14443.81166,263978.2249,40290.60639,1157877.645,11444.06387,,57084.14824,69236.43826,158474.1095,27657.93551,72499.88749,362808.2037,999751.206,754368.3333,164114.8797,3409531.551,207358.017,16435.26176,36733.98934,887124.4002,47911.34217,1194428.64,14710.67244,345447.374,219364.6302,235799.6699,247303.7417,20043.05828,356655.2322,29793.93534,301762.2507,266228.258,22713.005,246968.9262,10140.25088,105310.5384,11893.48696,83879.9306,59164.10231,241589.8032,345075.4442,34652.25009,3564746.686,1883090.939,81642.67133,,129601.3926,103955.1983,71273.43543,269246.7913,127183.4342,39635.11721,1965830.53,132300.0431,102186.5168,1266.480582,19357.93049,266979.3933,2567.039755,124179.673,13943.39369,103110.9629,28280.99913,289827.6822,214051.7818,91581.75712,20598.61172
nCDexp2_QC3,cd_exp2,QC,QC,279619.841,42505.68178,119647.9702,54963217.37,96638.61416,90447.59827,3925345.832,,163585.3516,11471506.21,11736.52521,599388.5441,97002.39262,412070.9483,,41488.40601,637424.0313,54198.45046,63168.05214,238131.0575,31714.66647,6456.616341,47025.7235,86022.85451,18211.0159,51890.02417,10487.32317,132847.5688,294203.7199,6353172.381,648.9663409,26963.52089,192822.4033,162049.4836,1197319.433,38016.48972,619445.1388,1099506.043,13743.66031,65705.3806,865.4469211,18677.07134,710246.8603,90506.48426,13368.70061,11984.35923,39166.59191,376599.3204,17388.74914,91002.27251,24472.22039,,247217.3177,98763.06761,112537.8465,3772425.417,2322.37049,33220.46374,14222.52569,434204.6746,2759899.678,727355.1111,663629.2232,2557168.026,563585.5149,1240081.704,3134340.429,1619367.073,1241934.588,1872280.927,648205.5017,1864698.938,9304456.467,680716.4444,1350477.72,4049.792942,19855.85296,1276915.584,291913.3482,5746.937432,8422.696702,1189952.433,10478.85275,2535212.471,6018368.434,19438.94885,19952.62739,,10341.37101,24712.46469,519983.4873,2062.315181,1480468.364,12230359.25,339870.0286,1480756.306,703263.7538,53547.17212,888463.281,38092.2474,77542.72746,217312.9391,12824.87405,228971.9134,40524.16081,1089506.827,12659.60702,,65750.01186,59839.19823,126202.0754,23867.47355,61589.97467,332091.3205,876472.3291,629483.2702,195778.388,3230600.788,166325.1164,15247.38179,31918.23208,870023.3999,39255.68303,1108186.809,14593.80252,345140.2111,223941.7419,203101.0565,207612.8812,20472.0347,348727.3505,22855.19538,316940.5876,258493.1534,15413.73333,204439.3107,8064.082709,101200.9747,10203.17373,68530.14129,51502.05388,231669.1136,306093.305,33323.28614,3459446.978,1735892.298,76115.87031,31496.87376,145561.5071,87775.03057,57312.42841,237588.2832,102240.0205,42154.56913,1544127.995,112042.2023,91300.54574,2616.714078,15289.98992,214890.0245,1306.076728,114768.0146,11812.54122,86592.69145,28317.44437,266706.6696,201388.3802,84294.80033,15711.33259
nCDexp2_QC4,cd_exp2,QC,QC,478124.6585,66598.31171,165695.1264,95916162.39,150097.3915,114064.5175,6795304.024,830.2407806,265005.7163,14134352,10824.582,1051919.324,140949.5443,605205.6703,,59905.56471,788329.0413,78112.99427,79334.84143,297440.1489,38352.81531,6504.848938,56466.75009,104218.9347,20998.00296,62065.34522,12525.97535,134381.802,344281.0462,7105163.938,322.9092595,32663.65296,235463.0844,201141.7422,1840750.927,39624.63088,986518.2084,1942363.803,14581.97524,90931.98851,377.4251417,31906.22501,927871.7453,129305.065,16770.28272,16952.00195,19790.8046,670296.9605,20377.04717,96875.74365,33712.20281,,382350.9942,126390.1271,124713.6389,4760292.577,541.5608814,38190.30586,13788.02338,517056.6722,4295640.511,993377.0242,1139284.729,3895714.847,704944.0615,1742149.074,3593033.511,2415703.984,1782331.976,2557754.095,965193.0689,2116226.611,13841344.78,918059.9088,1828027.402,5975.266498,19327.49713,1615321.861,375472.6062,6835.382906,11886.49286,1727945.895,8883.276651,2884267.911,7325433.153,19757.25933,21048.91232,,9403.303996,23957.85579,538485.1316,712.1628567,2336188.932,16890282.27,354596.2787,2336592.994,1006978.607,103259.2982,1604917.043,47572.51035,92196.754,258551.4263,20873.17014,323096.787,57294.9798,1156434.456,10338.43889,,82850.46915,82395.25501,203375.5723,29832.36738,81386.02732,429400.384,1102191.792,903416.8985,222303.5021,4667424.297,224574.7576,23347.99327,35643.55022,1258891.279,46877.00955,1276444.062,14779.39624,386371.1675,268461.0955,212228.0345,297138.1361,21777.54583,92816.24299,35458.46709,360283.8129,364196.3726,22766.87152,294941.8125,7645.292386,116087.9968,10653.29983,118957.9568,65650.03425,256697.4834,384561.4836,51168.06521,5370517.305,2018617.927,107637.3538,53015.74805,171854.8305,134080.2183,98978.33788,376485.1024,147973.9273,48361.68448,2282790.434,136059.3629,151452.5911,713.2330684,18380.95999,274933.3155,1713.873495,118026.7937,13735.84489,101163.4008,39095.51602,345683.9237,232550.6445,99878.36048,11102.61686
nCDexp2_QC5,cd_exp2,QC,QC,550767.0127,70047.98423,146272.0509,94877580.41,151669.6705,116154.5055,7185749.046,246.3936908,270004.2065,14938516.82,8918.175399,1149792.984,136332.6971,601083.5032,,50401.18696,808313.2661,78397.47964,83020.05185,304834.9811,31222.56061,9775.112015,54739.50303,106462.6951,22653.14056,56944.35819,13385.836,144334.0859,292387.8189,7165891.673,3021.434058,31349.20572,217765.8147,248502.1331,2008261.626,33956.99067,990071.3055,1779554.237,17186.8462,89964.77631,1034.926849,32635.07311,979997.7752,140843.4374,17597.31459,17463.43381,18652.18515,672255.0103,21496.51789,131638.3496,31304.73245,,369778.6007,131785.3975,123321.4056,4767903.715,442.3202714,35395.09415,12533.99815,516101.3199,4344115.56,971354.5499,1189232.589,3827012.8,650521.5349,1793225.905,3534061.638,2379634.058,1704882.104,2482860.663,979013.0775,2315918.893,14275590.75,872962.9948,1676806.794,4775.005996,21708.97114,1480542.856,341118.0398,7042.450423,10414.82229,1741560.952,8680.817379,1998423.12,5918277.589,22312.64328,18061.30783,,10303.84312,21888.3221,491124.449,430.8832629,2423655.968,16362670.76,339553.2843,2423684.774,987258.7408,121176.3637,1614320.907,48097.13334,88154.7665,245227.6904,20759.04321,316049.4654,52309.32451,976369.0574,10866.05514,,68027.91447,85264.53284,209781.4573,29566.89735,84665.10518,407444.2664,1099086.84,921004.6206,248170.0731,4736486.587,224793.6558,23500.9996,37207.93786,1258940.986,46420.35989,1012103.404,14559.19123,399284.7154,275973.0894,187516.105,286998.1521,19514.09283,81654.13784,33848.51015,347108.0319,405348.3643,19612.45562,303388.455,10473.15285,103956.4449,9772.871321,119324.3079,67255.53143,250799.1354,374387.5381,52531.41049,5584087.819,1624003.971,110017.7726,52533.60062,183992.3015,134554.524,93981.39692,389827.3253,147183.0082,33905.22849,2212375.895,136179.6978,156073.3126,,16450.71957,252267.6389,541.483433,118330.8517,12075.17106,94157.47068,33600.88871,342859.5419,226043.2248,105799.1227,7687.112718
nCDexp2_QC6,cd_exp2,QC,QC,534667.3958,76836.37395,153647.6651,99140937.92,165211.412,119886.752,7868079.673,,303517.0197,15662467.51,10281.17134,1277918.263,144994.1363,568637.2547,,53291.53423,808386.0433,71381.50447,76393.3342,297521.7096,36388.1403,8411.940379,51467.05723,102333.9976,23544.99813,62315.75732,17609.34867,141284.7178,309323.8586,7112627.01,2535.078543,33059.43716,235516.2251,213161.2769,2080289.442,38068.47433,1081181.722,1971742.451,16824.93998,90795.0975,414.2491003,34269.74513,1009909.653,147231.5483,17072.92,16336.15523,15725.60091,705724.1999,22501.99472,122350.7635,33956.69246,,380166.5934,129771.3931,123889.9746,4760068.555,,37204.31676,11880.56961,549969.5542,4721748.739,1009911.104,1332561.394,4238791.695,672912.043,1989340.508,3685381.695,2559530.656,1866381.255,2669391.414,1034158.913,2361601.578,15103277.95,872526.0927,1747997.885,5400.146198,21852.19591,1582825.339,365485.615,5678.546493,11986.6347,1872823.674,9348.341619,1851222.88,7219814.942,20462.84749,17899.0102,,9396.485616,19795.35711,502455.7626,815.1492673,2510370.459,17002966.26,338391.1196,2510726.403,1031317.151,125500.8066,1716641.696,46401.3478,94012.2592,210898.6034,18380.11102,314330.631,50385.4892,981055.1431,11103.97428,,74625.06495,77138.42671,216502.9253,30011.04157,86821.85097,427108.682,1104069.636,1000537.936,249768.2524,4913287.024,242321.0025,23286.79557,37446.10107,1320701.814,56003.10431,1108840.029,16334.5619,403282.6981,295892.1809,184541.7003,317382.5016,22584.31641,79184.85277,37360.77318,366007.8974,413712.0319,20351.67612,316163.3651,11399.5179,85664.48194,22441.62591,123851.7165,68266.91028,252621.0091,375537.4378,54381.57079,5986619.133,1737672.307,116922.2142,58346.29439,188731.0538,133234.6355,92760.78051,451685.7207,146051.287,38226.35485,2378608.394,141964.486,172949.9564,409.3478379,19385.60039,264921.2193,2413.806151,116033.4645,14188.61051,97666.38849,35328.60082,357510.8595,237061.9542,105473.6011,6846.125538
nCDexp2_Solv2,cd_exp2,Solv,Solv,13061.85264,17002.69472,,163023.5138,565.6844568,12195.46668,11587.36565,2190.646005,18386.33445,1191.948343,,20306.30913,57122.45028,46237.17233,,823.7787566,16053.63135,991.6321813,2025.745867,,,,2651.327471,,,,6402.667599,,,,,569.9153506,,60595.93812,9208.349852,,,8939.977297,,65474.82451,,,,39935.58537,,1029.313216,,74845.78,,,2072.73232,,28289.556,19429.56346,66995.31083,972779.888,,,,22671.11389,1583824.293,16176.81186,179411.5125,337003.2397,80168.13087,2373.290504,113198.9994,43304.33162,1693.867566,635.5577396,35946.70944,107493.7408,172224.85,14220.42478,161.8393296,,,2939.514957,23134.06304,,1519.44296,140494.2998,,,,,,,,,133906.7679,,31887.18288,73612.34073,,32772.79496,22366.10435,9948.55566,32054.00175,,,30785.81869,880.5760086,,1108.926404,,,,,3680.630451,1695.135098,3418.926684,1177.148817,53069.98018,24934.04954,88771.88721,27998.53054,845.9596669,,,,7633.813059,,,,40568.878,,26054.26927,103524.4533,,49577.75763,,12095.42582,712.2286342,334.3473406,657.2982448,,973.7028212,,16836.83512,20843.2258,,4563.161263,,134659.8521,,2324.078209,,461.2394843,22349.35143,,149737.39,3721.246206,,46351.4557,28294.45538,,,,,,,,,,1275.48726,,,
nCDexp2_Solv3,cd_exp2,Solv,Solv,8884.007013,19447.56793,,160697.8251,4839.01207,14113.53575,17800.62684,850.1179917,16224.39057,1177.91915,,49586.44639,33729.66413,29970.40658,,691.2049276,26161.72885,3292.37395,1261.497209,,179.7773074,,4367.921858,,,,5816.198147,,,,,2073.212198,634.8719885,44037.72342,14043.14401,,,11420.59576,,60289.86381,281.0539393,1049.459931,,43200.16096,,1256.34649,,49264.56086,,,1970.710666,,18831.92028,13315.9966,57624.35614,864201.7425,,,,20346.09265,1500352.046,29383.95684,132317.8934,351550.5334,71901.09564,4102.216432,130944.2742,34887.93824,1602.603686,628.5052855,39139.39921,96054.98164,188120.2323,19276.80233,526.3157814,1007.250518,,2193.708623,8379.968868,,1791.326284,133735.8159,,,608.5638526,,,,,,86759.11416,,27367.27315,82932.641,,28649.93443,18595.45892,12957.77828,25194.15397,,993.5558814,23379.27697,967.134261,,2425.608586,,,,,3133.513473,1340.164762,5099.221189,2975.4714,41485.38927,26430.38624,81941.42186,21884.96933,917.4864843,,,,9314.736965,1088.146469,,,32121.16184,642.9877879,22685.98775,60518.95564,,51603.56266,,10871.40574,2736.139325,1360.30123,306.7061478,336.4180026,1485.913938,,12064.72131,16947.87699,,3195.885342,,106534.4363,,2195.004338,,229.8524296,20887.45267,,76157.18271,2721.858313,,43797.80694,,,133.9733218,,,,,,,,973.4430359,,,
nCDexp2_Solv4,cd_exp2,Solv,Solv,3131.607893,24095.36749,,268183.3285,596.1685399,6267.884102,154586.3757,1560.321694,15410.06969,360944.9747,,29556.5064,15007.60902,24221.20989,,1547.362391,43298.44566,4570.334559,392.8269517,,,,5090.168213,,,,6143.302866,,,,,1442.806798,3598.338883,38690.05402,20159.07194,,,2143.332773,,51614.6128,,12687.63032,,42433.15386,316.9782548,1325.101162,,35957.25742,,,,,13789.90223,7890.561739,66455.93799,1171845.07,,,,34536.12813,1207373.594,24233.62721,174644.2524,312665.579,136662.4034,12643.67187,130081.107,23992.2015,2016.874848,,45821.05405,156530.0873,121044.5481,19865.26813,,560.1480744,459.8158492,,10383.35121,,2419.19567,111130.2883,,,,,,,,,5027.686815,,31321.07122,55160.30296,,32186.24402,24750.13616,25492.44464,51354.95188,373.5016173,1329.750009,41233.04135,1159.896451,1055.184626,660.2876497,,,,,3867.237992,,5105.271908,361.7078312,66229.93221,35387.73625,92456.41769,79756.11173,671.2452875,,,,5335.451227,,,,45364.13192,,109460.5253,147023.9813,,78300.17634,,8130.643729,,,,,1218.412319,,20503.82284,34699.65499,986.821361,,,182365.5986,,5473.17182,1495.0446,,22934.83846,10745.65707,49460.63072,5958.07707,,37211.28147,,,,,,,,,,,3395.263984,,,
